review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2025-08-21,AMD,initiate,82.0,82.0,high,0.0,5.55,5.55,5.6,"All entry gates passed — conviction 82, thesis strengthening"
2025-08-21,META,initiate,79.9,79.9,high,0.0,5.27,5.27,5.3,"All entry gates passed — conviction 80, thesis strengthening"
2025-08-21,MSFT,initiate,72.4,72.4,high,0.0,4.54,4.54,4.5,"All entry gates passed — conviction 72, thesis strengthening"
2025-08-28,META,hold,79.9,0.0,high,5.27,5.27,0.0,,"Hold — conviction 80, thesis strengthening"
2025-08-28,AMD,hold,84.8,0.0,high,5.55,5.55,0.0,,"Hold — conviction 85, thesis strengthening"
2025-08-28,MSFT,hold,72.4,0.0,high,4.54,4.54,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-04,META,hold,79.9,0.0,high,5.25,5.25,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-04,AMD,hold,84.8,0.0,high,5.6,5.6,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-04,MSFT,hold,72.4,0.0,high,4.5,4.5,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-11,META,hold,79.9,0.0,high,5.24,5.24,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-11,AMD,hold,84.8,0.0,high,5.39,5.39,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-11,MSFT,hold,72.4,0.0,high,4.5,4.5,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-18,META,hold,79.9,0.0,high,5.21,5.21,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-18,AMD,hold,84.8,0.0,high,5.14,5.14,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-18,MSFT,hold,72.4,0.0,high,4.4,4.4,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-25,META,hold,79.9,0.0,high,5.37,5.37,0.0,,"Hold — conviction 80, thesis strengthening"
2025-09-25,AMD,hold,84.8,0.0,high,5.17,5.17,0.0,,"Hold — conviction 85, thesis strengthening"
2025-09-25,MSFT,hold,72.4,0.0,high,4.42,4.42,0.0,,"Hold — conviction 72, thesis strengthening"
2025-10-02,AMD,add,84.8,55.0,high,5.3,8.05,2.75,7.98,Winner with strong conviction and attractive valuation — add
2025-10-02,META,hold,79.9,0.0,high,5.18,5.18,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-02,MSFT,hold,91.1,0.0,high,4.43,4.43,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-09,META,hold,79.9,0.0,high,4.94,4.94,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-09,AMD,hold,88.5,0.0,high,8.05,8.05,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-09,MSFT,hold,91.1,0.0,high,4.43,4.43,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-16,META,hold,79.9,0.0,high,4.82,4.82,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-16,AMD,hold,88.5,0.0,high,10.69,10.69,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-16,MSFT,hold,91.1,0.0,high,4.34,4.34,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-23,META,hold,79.9,0.0,high,4.75,4.75,0.0,,"Hold — conviction 80, thesis strengthening"
2025-10-23,AMD,hold,88.5,0.0,high,10.92,10.92,0.0,,"Hold — conviction 89, thesis strengthening"
2025-10-23,MSFT,hold,91.1,0.0,high,4.31,4.31,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-30,META,hold,90.9,0.0,high,4.82,4.82,0.0,,"Hold — conviction 91, thesis strengthening"
2025-10-30,AMD,hold,91.5,0.0,high,10.77,10.77,0.0,,"Hold — conviction 92, thesis strengthening"
2025-10-30,MSFT,hold,91.7,0.0,high,4.32,4.32,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-06,META,hold,92.6,0.0,high,4.31,4.31,0.0,,"Hold — conviction 93, thesis strengthening"
2025-11-06,AMD,hold,95.2,0.0,high,11.51,11.51,0.0,,"Hold — conviction 95, thesis strengthening"
2025-11-06,MSFT,hold,91.7,0.0,high,4.3,4.3,0.0,,"Hold — conviction 92, thesis strengthening"
2025-11-13,AMD,add,95.2,55.0,high,11.0,10.28,-0.72,10.0,Winner with strong conviction and attractive valuation — add
2025-11-13,META,hold,92.6,0.0,high,4.11,4.11,0.0,,"Hold — conviction 93, thesis strengthening"
