review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-14.16,8.74,3.75
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-6.69,8.25,13.75
2024-07-31,AVGO,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-11.58,3.28,7.83
2024-07-31,QCOM,initiate,0.0,2.16,2.16,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-12.71,-4.89,-5.49
2024-07-31,INTC,initiate,0.0,2.07,2.07,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-34.58,-31.28,-21.73
2024-08-07,NVDA,exit,2.1,0.0,-2.1,50.0,50.0,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%),10.22,29.71,26.31
2024-08-07,AVGO,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%),9.06,18.43,30.05
2024-08-07,AMD,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%),6.3,16.97,32.82
2024-08-07,QCOM,exit,2.16,0.0,-2.16,50.0,50.0,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%),4.34,11.41,8.75
2024-08-07,INTC,trim,2.07,1.02,-1.06,50.0,48.0,Stop-loss TRIM: position -34.2% below cost basis (threshold -20%),1.95,5.69,18.96
2024-08-07,MSFT,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-07,GOOGL,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",2.11,3.61,5.25
2024-08-07,AMZN,initiate,0.0,2.01,2.01,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",2.48,6.36,14.58
2024-08-07,META,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",5.53,6.17,22.01
2024-08-07,CRM,initiate,0.0,1.97,1.97,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.7,10.07,20.06
2024-08-14,INTC,trim,1.02,1.0,-0.01,48.0,50.0,Stop-loss TRIM: position -31.0% below cost basis (threshold -20%),8.03,0.9,18.27
2024-08-14,CRWD,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.12,4.05,24.97
2024-08-14,AAPL,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.88,0.47,2.63
2024-08-14,TSLA,initiate,0.0,1.92,1.92,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",10.6,4.58,8.15
2024-08-21,CRWD,exit,2.0,0.0,-2.0,50.0,50.0,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%),-2.69,-9.32,13.52
2024-08-21,INTC,trim,1.0,1.0,-0.0,50.0,50.0,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%),-5.98,-11.35,6.35
2024-08-28,INTC,trim,1.0,0.85,-0.15,50.0,50.0,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%),12.39,9.48,15.66
2024-08-28,NVDA,initiate,0.0,2.13,2.13,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-4.97,-7.97,12.69
2024-08-28,AMD,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.5,3.05,6.74
2024-09-04,INTC,trim,0.85,0.7,-0.14,50.0,50.0,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%),-1.85,17.4,19.4
2024-09-11,INTC,trim,0.7,0.4,-0.31,50.0,50.0,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%),6.47,15.53,33.4
2024-09-18,INTC,trim,0.4,0.0,-0.4,50.0,50.0,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%),8.62,12.28,17.24
2024-09-25,QCOM,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.06,3.46,-6.82
2024-12-18,AMD,exit,1.6,0.0,-1.6,50.0,50.0,Trailing stop EXIT: -29.7% from 90-day peak (threshold -25%),2.63,,
2024-12-25,INTC,initiate,0.0,1.99,1.99,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.84,,
