review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-07-31,INTC,initiate,50.0,50.0,medium,30.55,-34.58,-31.28,-21.73,"All entry gates passed — conviction 50, thesis stable"
2024-11-20,INTC,add,50.0,50.0,medium,24.01,3.58,-16.03,,Winner with strong conviction and attractive valuation — add
2024-08-21,NVDA,add,50.0,50.0,medium,128.44,-1.59,-15.88,7.4,Winner with strong conviction and attractive valuation — add
2024-10-02,TSLA,add,50.0,50.0,medium,249.02,-3.29,-12.47,38.61,Winner with strong conviction and attractive valuation — add
2024-08-21,INTC,trim,50.0,75.0,medium,21.41,-5.98,-11.35,6.35,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%)
2024-08-21,AMD,add,50.0,50.0,medium,157.81,-4.96,-9.49,-1.17,Winner with strong conviction and attractive valuation — add
2024-08-21,CRWD,exit,50.0,86.0,medium,273.21,-2.69,-9.32,13.52,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-14,NVDA,initiate,50.0,50.0,medium,118.02,10.09,-8.54,14.17,"All entry gates passed — conviction 50, thesis stable"
2024-08-28,NVDA,add,50.0,50.0,medium,125.55,-4.97,-7.97,12.69,Winner with strong conviction and attractive valuation — add
2024-08-21,QCOM,add,50.0,50.0,medium,167.57,-2.71,-6.72,-1.39,Winner with strong conviction and attractive valuation — add
