review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-07,NVDA,exit,50.0,86.0,medium,98.86,10.22,29.71,26.31,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,71.8,86.0,high,134.25,9.06,18.43,30.05,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-07,AMD,exit,55.5,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-09-18,AMD,add,64.7,55.0,medium,148.29,5.71,16.53,-9.03,Winner with strong conviction and attractive valuation — add
2024-08-07,QCOM,initiate,50.0,56.3,medium,150.16,4.34,11.41,8.75,"All entry gates passed — conviction 50, thesis forming (claim impact: +3.1%)"
2024-11-20,AMZN,add,64.4,55.0,medium,202.88,-0.7,10.92,,Winner with strong conviction and attractive valuation — add
2024-09-04,META,initiate,65.7,65.7,high,510.23,-1.55,9.97,10.72,"All entry gates passed — conviction 66, thesis strengthening"
2024-09-18,CRWD,initiate,71.2,71.2,high,267.12,9.74,9.69,26.07,"All entry gates passed — conviction 71, thesis strengthening"
2024-07-31,NVDA,initiate,50.0,50.0,medium,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 50, thesis forming"
2024-07-31,AMD,initiate,57.8,60.9,medium,144.48,-6.69,8.25,13.75,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +1.5%)"
