review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2024-07-31,LLY,initiate,50.0,50.0,medium,0.0,1.91,1.91,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,COST,initiate,50.0,50.0,medium,0.0,1.98,1.98,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,NVDA,initiate,50.0,50.0,medium,0.0,2.11,2.11,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,CAT,initiate,50.0,57.4,medium,0.0,1.99,1.99,2.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +3.7%)"
2024-08-07,AMD,initiate,50.0,57.4,medium,0.0,1.94,1.94,2.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +3.7%)"
2024-08-07,HD,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,COST,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2024-08-07,NVDA,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-08-07,LLY,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,AVGO,initiate,50.0,50.0,medium,0.0,1.94,1.94,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,TSLA,initiate,50.0,50.0,medium,0.0,1.92,1.92,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,COST,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,AMD,hold,50.0,0.0,medium,1.94,1.94,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,LLY,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,NVDA,hold,50.0,0.0,medium,1.9,1.9,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,HD,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2024-08-14,CAT,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,COST,hold,50.0,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,AMD,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,LLY,hold,50.0,0.0,medium,2.23,2.23,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,AVGO,hold,50.0,0.0,medium,1.94,1.94,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,NVDA,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,TSLA,hold,50.0,0.0,medium,1.92,1.92,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,HD,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,CAT,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,PLTR,initiate,50.0,50.0,medium,0.0,1.96,1.96,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-28,COST,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,AMD,hold,50.0,0.0,medium,2.18,2.18,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,LLY,hold,50.0,0.0,medium,2.2,2.2,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,AVGO,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,NVDA,hold,50.0,0.0,medium,2.26,2.26,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,TSLA,hold,50.0,0.0,medium,2.05,2.05,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,HD,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,CAT,hold,50.0,0.0,medium,1.92,1.92,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,META,initiate,50.0,50.0,medium,0.0,1.98,1.98,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,COST,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,AMD,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,LLY,hold,50.0,0.0,medium,2.21,2.21,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,AVGO,hold,50.0,0.0,medium,1.89,1.89,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,NVDA,hold,50.0,0.0,medium,2.23,2.23,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,PLTR,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,TSLA,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,HD,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,CAT,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,COST,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,AMD,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,LLY,hold,50.0,0.0,medium,2.24,2.24,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,AVGO,hold,50.0,0.0,medium,1.87,1.87,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,NVDA,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,PLTR,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,TSLA,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,HD,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,META,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,CAT,hold,50.0,0.0,medium,1.93,1.93,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,COST,hold,50.0,0.0,medium,2.14,2.14,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,AMD,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,LLY,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,AVGO,hold,50.0,0.0,medium,1.9,1.9,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,NVDA,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,PLTR,hold,50.0,0.0,medium,2.25,2.25,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,TSLA,hold,50.0,0.0,medium,2.12,2.12,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,HD,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,META,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,CAT,hold,50.0,0.0,medium,1.9,1.9,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,COST,hold,50.0,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,AMD,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,LLY,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,AVGO,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,NVDA,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,PLTR,hold,50.0,0.0,medium,2.32,2.32,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,TSLA,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,HD,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,META,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-09-25,CAT,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,COST,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,AMD,hold,50.0,0.0,medium,2.17,2.17,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,LLY,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,AVGO,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,NVDA,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,PLTR,hold,50.0,0.0,medium,2.31,2.31,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,TSLA,hold,50.0,0.0,medium,2.3,2.3,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,HD,hold,50.0,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,META,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2024-10-02,CAT,hold,50.0,0.0,medium,2.06,2.06,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,COST,hold,48.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 48, thesis stable"
2024-10-09,AMD,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,LLY,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,AVGO,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,NVDA,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,PLTR,hold,50.0,0.0,medium,2.34,2.34,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,TSLA,hold,50.0,0.0,medium,2.23,2.23,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,HD,hold,50.0,0.0,medium,2.18,2.18,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,META,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-10-09,CAT,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,COST,hold,48.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 48, thesis stable"
2024-10-16,AMD,hold,50.0,0.0,medium,2.25,2.25,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,LLY,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,AVGO,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,NVDA,hold,50.0,0.0,medium,2.23,2.23,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,PLTR,hold,50.0,0.0,medium,2.63,2.63,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,TSLA,hold,50.0,0.0,medium,2.12,2.12,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,HD,hold,50.0,0.0,medium,2.16,2.16,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,META,hold,50.0,0.0,medium,2.13,2.13,0.0,,"Hold — conviction 50, thesis stable"
2024-10-16,CAT,hold,50.0,0.0,medium,2.12,2.12,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,COST,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,AMD,hold,50.0,0.0,medium,2.05,2.05,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,LLY,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,AVGO,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,NVDA,hold,50.0,0.0,medium,2.28,2.28,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,PLTR,hold,50.0,0.0,medium,2.55,2.55,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,TSLA,hold,50.0,0.0,medium,1.94,1.94,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,HD,hold,50.0,0.0,medium,2.17,2.17,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,META,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-10-23,CAT,hold,50.0,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,COST,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,AMD,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,LLY,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,AVGO,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,NVDA,hold,50.0,0.0,medium,2.36,2.36,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,PLTR,hold,50.0,0.0,medium,2.62,2.62,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,TSLA,hold,50.0,0.0,medium,1.89,1.89,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,HD,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,META,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2024-10-30,CAT,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2024-11-06,COST,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
