review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-14.16,8.74,3.75
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-6.69,8.25,13.75
2024-07-31,AVGO,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-11.58,3.28,7.83
2024-07-31,QCOM,initiate,0.0,2.16,2.16,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-12.71,-4.89,-5.49
2024-07-31,INTC,initiate,0.0,2.07,2.07,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-34.58,-31.28,-21.73
2024-07-31,MSFT,initiate,0.0,1.97,1.97,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-5.55,1.72,2.5
2024-07-31,GOOGL,initiate,0.0,1.97,1.97,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-7.16,-2.54,-4.3
2024-07-31,META,initiate,0.0,1.87,1.87,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",0.19,10.93,19.6
2024-07-31,PLTR,initiate,0.0,2.02,2.02,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-10.41,20.19,37.0
2024-07-31,CRWD,initiate,0.0,2.03,2.03,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-4.27,14.9,23.24
2024-08-07,NVDA,exit,2.1,0.0,-2.1,50.0,50.0,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%),10.22,29.71,26.31
2024-08-07,CRWD,exit,2.03,0.0,-2.03,50.0,50.0,Trailing stop EXIT: -41.2% from 90-day peak (threshold -25%),3.76,16.98,26.69
2024-08-07,AMD,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%),6.3,16.97,32.82
2024-08-07,QCOM,exit,2.16,0.0,-2.16,50.0,50.0,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%),4.34,11.41,8.75
2024-08-07,AVGO,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%),9.06,18.43,30.05
2024-08-07,INTC,trim,2.07,1.01,-1.06,50.0,48.0,Stop-loss TRIM: position -34.2% below cost basis (threshold -20%),1.95,5.69,18.96
2024-08-07,AMZN,initiate,0.0,2.01,2.01,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",2.48,6.36,14.58
2024-08-07,CRM,initiate,0.0,1.98,1.98,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.7,10.07,20.06
2024-08-07,NOW,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.91,7.14,18.22
2024-08-07,AAPL,initiate,0.0,2.02,2.02,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.79,8.8,8.22
2024-08-14,INTC,trim,1.01,1.0,-0.01,48.0,50.0,Stop-loss TRIM: position -31.0% below cost basis (threshold -20%),8.03,0.9,18.27
2024-08-14,AAPL,add,2.02,3.05,1.03,50.0,50.0,Winner with strong conviction and attractive valuation — add,1.88,0.47,2.63
2024-08-14,NVDA,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",10.09,-8.54,14.17
2024-08-14,AMD,initiate,0.0,1.95,1.95,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",10.32,-2.71,19.28
2024-08-14,AVGO,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",6.35,-3.11,15.47
2024-08-14,QCOM,initiate,0.0,1.97,1.97,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.25,-2.34,2.22
2024-08-14,CRWD,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.12,4.05,24.97
2024-08-14,TSLA,initiate,0.0,1.92,1.92,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",10.6,4.58,8.15
2024-08-21,CRWD,exit,2.01,0.0,-2.01,50.0,50.0,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%),-2.69,-9.32,13.52
2024-08-21,INTC,trim,1.0,1.0,-0.01,50.0,50.0,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%),-5.98,-11.35,6.35
2024-08-21,NVDA,add,1.96,3.08,1.12,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.59,-15.88,7.4
2024-08-21,TSLA,add,1.92,3.09,1.18,50.0,50.0,Winner with strong conviction and attractive valuation — add,-4.51,1.3,-1.15
2024-08-21,AMZN,add,2.01,3.06,1.05,50.0,50.0,Winner with strong conviction and attractive valuation — add,-2.56,-0.31,4.93
2024-08-21,AMD,add,1.95,3.13,1.18,50.0,50.0,Winner with strong conviction and attractive valuation — add,-4.96,-9.49,-1.17
2024-08-21,QCOM,add,1.97,2.99,1.02,50.0,50.0,Winner with strong conviction and attractive valuation — add,-2.71,-6.72,-1.39
2024-08-21,MSFT,add,2.0,2.97,0.97,50.0,50.0,Winner with strong conviction and attractive valuation — add,-2.51,-2.34,-1.41
2024-08-28,INTC,trim,1.0,0.86,-0.14,50.0,50.0,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%),12.39,9.48,15.66
2024-08-28,NVDA,add,3.08,4.13,1.05,50.0,50.0,Winner with strong conviction and attractive valuation — add,-4.97,-7.97,12.69
2024-08-28,PLTR,add,2.41,3.26,0.85,50.0,50.0,Winner with strong conviction and attractive valuation — add,3.69,20.06,47.76
2024-08-28,CRWD,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.95,1.71,13.79
2024-09-04,CRWD,exit,1.94,0.0,-1.94,50.0,50.0,Trailing stop EXIT: -33.9% from 90-day peak (threshold -25%),-4.91,11.27,16.89
2024-09-04,QCOM,exit,3.0,0.0,-3.0,50.0,50.0,Trailing stop EXIT: -27.2% from 90-day peak (threshold -25%),-2.26,1.5,0.48
2024-09-04,INTC,trim,0.86,0.73,-0.13,50.0,50.0,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%),-1.85,17.4,19.4
2024-09-04,TSLA,add,2.9,4.1,1.2,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.43,15.89,13.48
2024-09-11,INTC,trim,0.73,0.44,-0.29,50.0,50.0,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%),6.47,15.53,33.4
2024-09-11,TSLA,add,4.1,5.19,1.08,50.0,50.0,Winner with strong conviction and attractive valuation — add,-0.59,13.1,40.81
2024-09-11,AMZN,add,3.05,4.18,1.13,50.0,50.0,Winner with strong conviction and attractive valuation — add,0.2,0.33,12.82
2024-09-11,AMD,add,2.89,4.02,1.13,50.0,50.0,Winner with strong conviction and attractive valuation — add,1.48,6.6,-1.27
2024-09-11,MSFT,add,2.97,4.01,1.04,50.0,50.0,Winner with strong conviction and attractive valuation — add,1.96,-0.56,-0.12
2024-09-11,QCOM,initiate,0.0,2.04,2.04,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",0.03,-0.47,2.61
2024-09-11,CRWD,initiate,0.0,1.99,1.99,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",5.63,8.53,30.17
2024-09-18,CRWD,exit,1.99,0.0,-1.99,50.0,50.0,Trailing stop EXIT: -31.9% from 90-day peak (threshold -25%),9.74,9.69,26.07
2024-09-18,INTC,trim,0.44,0.0,-0.44,50.0,50.0,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%),8.62,12.28,17.24
2024-09-18,TSLA,add,5.19,6.06,0.87,50.0,50.0,Winner with strong conviction and attractive valuation — add,10.04,7.61,41.16
2024-09-18,AMZN,add,4.18,5.18,1.0,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.0,-1.99,8.68
2024-09-18,QCOM,add,2.04,3.03,0.99,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.39,-1.16,-4.63
2024-09-18,MSFT,add,4.01,5.04,1.03,50.0,50.0,Winner with strong conviction and attractive valuation — add,0.63,-3.74,-3.67
2024-09-25,NVDA,add,3.68,4.88,1.2,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.68,6.55,14.93
2024-09-25,AMD,add,3.93,5.13,1.2,50.0,50.0,Winner with strong conviction and attractive valuation — add,1.27,-3.32,-14.61
2024-09-25,QCOM,add,3.03,3.91,0.88,50.0,50.0,Winner with strong conviction and attractive valuation — add,1.06,3.46,-6.82
2024-09-25,NOW,add,2.12,3.06,0.94,50.0,50.0,Winner with strong conviction and attractive valuation — add,0.49,4.26,19.16
2024-09-25,MSFT,add,5.04,5.9,0.86,50.0,50.0,Winner with strong conviction and attractive valuation — add,-0.42,-3.09,-3.3
2024-09-25,INTC,initiate,0.0,1.98,1.98,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-0.34,-3.74,4.08
2024-09-25,CRWD,initiate,0.0,2.04,2.04,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.09,5.53,29.95
2024-10-02,CRWD,exit,2.04,0.0,-2.04,50.0,50.0,Trailing stop EXIT: -28.3% from 90-day peak (threshold -25%),2.4,10.09,23.45
2024-10-02,INTC,exit,1.98,0.0,-1.98,50.0,50.0,Trailing stop EXIT: -35.4% from 90-day peak (threshold -25%),-0.04,0.04,7.41
2024-10-02,TSLA,add,6.63,7.53,0.9,50.0,50.0,Winner with strong conviction and attractive valuation — add,-3.29,-12.47,38.61
2024-10-02,AMD,add,5.13,6.09,0.96,50.0,50.0,Winner with strong conviction and attractive valuation — add,7.0,-3.56,-14.14
2024-10-09,AMD,add,6.09,7.4,1.31,50.0,50.0,Winner with strong conviction and attractive valuation — add,-3.36,-2.79,-18.96
2024-10-09,QCOM,add,3.95,4.9,0.95,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.59,3.4,-5.8
2024-10-09,INTC,initiate,0.0,2.02,2.02,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-0.09,-2.39,-10.83
2024-10-09,CRWD,initiate,0.0,1.89,1.89,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.08,4.22,22.56
2024-10-16,INTC,exit,2.02,0.0,-2.02,50.0,50.0,Trailing stop EXIT: -35.6% from 90-day peak (threshold -25%),2.38,4.53,-8.83
2024-10-16,QCOM,add,4.9,5.99,1.09,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.44,-3.25,-7.07
2024-10-23,INTC,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.28,9.92,-11.19
2024-11-13,TSLA,add,8.16,10.04,1.88,50.0,50.0,Winner with strong conviction and attractive valuation — add,2.57,6.41,
2024-11-20,INTC,add,2.09,3.02,0.93,50.0,50.0,Winner with strong conviction and attractive valuation — add,3.58,-16.03,
2024-11-20,AMZN,add,5.31,6.11,0.8,50.0,50.0,Winner with strong conviction and attractive valuation — add,-0.7,10.92,
2024-11-20,PLTR,add,5.75,6.96,1.21,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.07,14.12,
2024-11-27,CRWD,add,2.1,3.1,1.0,50.0,50.0,Winner with strong conviction and attractive valuation — add,-0.23,8.29,
2024-11-27,TSLA,add,10.5,10.04,-0.46,50.0,50.0,Winner with strong conviction and attractive valuation — add,7.27,44.15,
2024-12-04,AVGO,add,1.71,2.76,1.05,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.91,40.9,
2024-12-11,PLTR,add,7.51,8.62,1.11,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.47,4.3,
2024-12-18,INTC,exit,2.38,0.0,-2.38,50.0,50.0,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%),4.66,,
2024-12-18,AMD,trim,5.01,2.9,-2.11,50.0,50.0,Stop-loss TRIM: position -22.0% below cost basis (threshold -20%),2.63,,
2024-12-18,TSLA,add,12.05,10.57,-1.48,50.0,50.0,Winner with strong conviction and attractive valuation — add,-2.17,,
2024-12-18,AMZN,add,6.52,7.76,1.24,50.0,50.0,Winner with strong conviction and attractive valuation — add,2.06,,
2024-12-18,PLTR,add,8.62,10.18,1.56,50.0,50.0,Winner with strong conviction and attractive valuation — add,12.84,,
2024-12-18,AVGO,add,2.91,4.87,1.97,50.0,50.0,Winner with strong conviction and attractive valuation — add,4.18,,
2024-12-25,AMD,exit,2.9,0.0,-2.9,50.0,50.0,Trailing stop EXIT: -26.9% from 90-day peak (threshold -25%),-3.05,,
2024-12-25,NVDA,add,4.84,6.01,1.17,50.0,50.0,Winner with strong conviction and attractive valuation — add,-1.95,,
2024-12-25,CRWD,add,3.18,4.17,0.99,50.0,50.0,Winner with strong conviction and attractive valuation — add,-4.51,,
2024-12-25,INTC,initiate,0.0,1.99,1.99,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.84,,
2025-01-01,PLTR,add,11.17,10.79,-0.39,50.0,50.0,Winner with strong conviction and attractive valuation — add,,,
2025-01-01,AVGO,add,4.99,5.07,0.09,50.0,50.0,Winner with strong conviction and attractive valuation — add,,,
