review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-07-31,META,initiate,0.0,5.44,5.44,0.0,79.9,"All entry gates passed — conviction 80, thesis strengthening",-1.29,-3.33,-3.82
2025-07-31,MSFT,initiate,0.0,4.56,4.56,0.0,72.4,"All entry gates passed — conviction 72, thesis strengthening",-1.08,-5.21,-3.38
2025-07-31,AAPL,initiate,0.0,2.96,2.96,0.0,57.9,"All entry gates passed — conviction 58, thesis strengthening",-2.24,9.01,22.71
2025-07-31,NVDA,initiate,0.0,2.04,2.04,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",0.22,-1.39,2.24
2025-07-31,AMD,initiate,0.0,2.05,2.05,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-1.13,-6.3,-8.48
2025-08-07,NVDA,trim,2.04,1.01,-1.03,50.0,37.2,Thesis weakening with conviction 37 — trim,1.32,0.46,2.64
2025-08-07,META,add,5.44,7.36,1.91,79.9,79.9,Winner with strong conviction and attractive valuation — add,3.7,-1.9,-6.0
2025-08-07,AAPL,add,2.96,5.55,2.59,57.9,81.5,Winner with strong conviction and attractive valuation — add,4.49,4.87,16.79
2025-08-07,AMD,add,2.05,4.51,2.46,50.0,82.0,Winner with strong conviction and attractive valuation — add,1.48,-3.06,18.16
2025-08-14,NVDA,trim,1.01,1.0,-0.01,37.2,37.2,Thesis weakening with conviction 37 — trim,-3.51,-6.26,3.47
2025-08-14,META,add,7.36,9.48,2.12,79.9,79.9,Winner with strong conviction and attractive valuation — add,-3.92,-5.76,-8.43
2025-08-14,AAPL,add,5.55,8.34,2.79,81.5,81.5,Winner with strong conviction and attractive valuation — add,-0.95,2.44,6.39
2025-08-14,AMD,add,4.51,7.24,2.73,82.0,82.0,Winner with strong conviction and attractive valuation — add,-7.96,-10.4,19.6
2025-08-21,NVDA,trim,1.0,0.95,-0.04,37.2,37.2,Thesis weakening with conviction 37 — trim,3.88,1.34,4.38
2025-08-21,AAPL,add,8.34,9.99,1.65,81.5,81.5,Winner with strong conviction and attractive valuation — add,1.96,0.84,16.6
2025-08-28,NVDA,trim,0.95,0.96,0.0,37.2,37.2,Thesis weakening with conviction 37 — trim,-5.21,-5.48,6.29
2025-08-28,AAPL,add,9.99,10.05,0.06,81.5,81.5,Winner with strong conviction and attractive valuation — add,-1.22,2.76,15.59
2025-09-04,NVDA,trim,0.96,0.83,-0.13,37.2,37.2,Thesis weakening with conviction 37 — trim,-0.52,3.1,20.52
2025-09-04,AAPL,add,10.05,10.08,0.02,81.5,81.5,Winner with strong conviction and attractive valuation — add,-2.26,5.23,12.21
2025-09-11,NVDA,trim,0.83,0.72,-0.11,37.2,37.2,Thesis weakening with conviction 37 — trim,-1.29,5.68,12.35
2025-09-18,NVDA,trim,0.72,0.41,-0.3,37.2,37.2,Thesis weakening with conviction 37 — trim,1.24,7.3,5.88
2025-09-18,META,add,9.37,10.0,0.63,79.9,79.9,Winner with strong conviction and attractive valuation — add,-3.12,-7.94,-22.79
2025-09-25,NVDA,trim,0.41,0.0,-0.41,37.2,37.2,Thesis weakening with conviction 37 — trim,5.0,1.2,2.74
2025-09-25,AAPL,add,9.98,10.14,0.16,81.5,81.5,Winner with strong conviction and attractive valuation — add,-0.87,-2.93,7.52
2025-10-02,MSFT,add,4.44,5.76,1.31,72.4,91.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",1.6,0.93,-5.45
2025-10-09,MSFT,add,5.76,8.19,2.43,91.1,91.1,Winner with strong conviction and attractive valuation — add,-1.69,3.67,-5.83
2025-10-09,AMD,add,6.98,10.03,3.05,84.8,88.5,Winner with strong conviction and attractive valuation — add,-6.35,13.5,-5.06
2025-10-16,AMD,add,10.03,10.03,-0.0,88.5,88.5,Winner with strong conviction and attractive valuation — add,1.48,9.28,-11.5
2025-10-23,MSFT,add,8.1,10.01,1.91,91.1,91.1,Winner with strong conviction and attractive valuation — add,4.13,-1.81,-6.67
2025-10-23,AMD,add,10.03,10.0,-0.03,88.5,88.5,Winner with strong conviction and attractive valuation — add,9.8,10.17,-8.53
2025-10-30,MSFT,add,10.01,10.21,0.2,91.1,91.7,Winner with strong conviction and attractive valuation — add,-2.17,-7.35,-7.18
2025-10-30,AMD,add,10.0,10.21,0.22,88.5,91.5,Winner with strong conviction and attractive valuation — add,-1.88,-12.28,-15.39
2025-10-30,AAPL,add,9.97,10.4,0.43,81.5,86.7,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.5,-0.95,0.97
2025-11-06,META,trim,8.52,6.11,-2.41,90.9,92.6,Stop-loss TRIM: position -18.7% below cost basis (threshold -15%),1.32,2.37,6.53
2025-11-06,AAPL,add,10.4,10.32,-0.07,86.7,94.1,"Loser with intact thesis, confirming evidence, and attractive valuation — add",2.13,2.98,-0.83
2025-11-13,META,trim,6.11,3.99,-2.12,92.6,92.6,Stop-loss TRIM: position -19.9% below cost basis (threshold -15%),-2.0,4.87,5.35
2025-11-13,AMD,add,9.77,10.03,0.26,95.2,95.2,Winner with strong conviction and attractive valuation — add,-7.13,-12.24,-16.24
2025-11-20,AMD,exit,10.03,0.0,-10.03,95.2,95.2,Trailing stop EXIT: -22.1% from 90-day peak (threshold -20%),0.05,7.48,12.53
2025-11-20,META,trim,3.99,1.98,-2.02,92.6,92.6,Stop-loss TRIM: position -22.6% below cost basis (threshold -15%),7.99,10.35,5.36
2025-11-27,META,trim,1.98,1.02,-0.96,92.6,92.6,Stop-loss TRIM: position -16.8% below cost basis (threshold -15%),2.13,2.59,6.2
2025-11-27,AMD,initiate,0.0,6.91,6.91,95.2,95.2,"All entry gates passed — conviction 95, thesis strengthening",0.47,-7.53,17.3
2025-11-27,NVDA,initiate,0.0,5.41,5.41,79.4,79.4,"All entry gates passed — conviction 79, thesis strengthening",0.67,-5.16,3.45
2025-12-11,AMD,add,6.95,9.8,2.85,95.2,95.2,Winner with strong conviction and attractive valuation — add,-5.54,-3.28,-2.45
2025-12-11,AAPL,add,10.9,10.47,-0.43,94.1,94.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-1.23,-2.22,-1.13
2025-12-18,AMD,exit,9.8,0.0,-9.8,95.2,95.1,Trailing stop EXIT: -23.9% from 90-day peak (threshold -20%),6.88,4.46,3.11
2025-12-18,AAPL,trim,10.47,8.33,-2.14,94.9,94.9,Stop-loss TRIM: position -18.1% below cost basis (threshold -15%),0.06,-4.36,-5.94
2025-12-18,META,add,1.06,2.35,1.29,92.6,92.6,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.07,-2.37,-3.71
2025-12-25,AAPL,trim,8.33,6.33,-2.0,94.9,94.9,Stop-loss TRIM: position -17.6% below cost basis (threshold -15%),-0.27,-5.06,-2.7
2025-12-25,AMD,initiate,0.0,7.01,7.01,95.1,95.1,"All entry gates passed — conviction 95, thesis strengthening",0.14,3.98,-8.58
2025-12-25,NVDA,add,5.29,7.68,2.39,79.4,79.4,Winner with strong conviction and attractive valuation — add,-0.57,-2.9,1.56
2026-01-01,AAPL,trim,6.33,4.3,-2.04,94.9,94.9,Stop-loss TRIM: position -18.2% below cost basis (threshold -15%),-3.49,-8.91,-2.73
2026-01-01,NVDA,add,7.68,9.59,1.92,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.4,-1.71,-4.99
2026-01-08,AMD,exit,7.0,0.0,-7.0,95.1,95.1,Trailing stop EXIT: -22.6% from 90-day peak (threshold -20%),7.96,23.48,
2026-01-08,AAPL,trim,4.3,2.13,-2.17,94.9,95.3,Stop-loss TRIM: position -22.0% below cost basis (threshold -15%),0.78,-1.0,
2026-01-08,NVDA,add,9.59,10.01,0.41,79.4,79.4,Winner with strong conviction and attractive valuation — add,0.42,3.5,
2026-01-15,AAPL,trim,2.13,0.99,-1.14,95.3,95.3,Stop-loss TRIM: position -22.3% below cost basis (threshold -15%),-4.46,7.08,
2026-01-15,AMD,initiate,0.0,6.91,6.91,95.1,95.1,"All entry gates passed — conviction 95, thesis strengthening",1.76,-12.17,
2026-01-15,NVDA,add,10.01,10.05,0.04,79.4,79.4,Winner with strong conviction and attractive valuation — add,-4.8,-6.88,
2026-01-22,AAPL,exit,0.99,0.0,-0.99,95.3,95.3,Stop-loss EXIT: position -25.3% below cost basis (threshold -25%),3.99,11.04,
2026-01-22,AMD,add,6.91,9.97,3.05,95.1,95.5,Winner with strong conviction and attractive valuation — add,-0.67,-15.82,
2026-01-29,MSFT,trim,9.33,6.97,-2.36,96.7,96.7,Stop-loss TRIM: position -17.3% below cost basis (threshold -15%),-5.14,-7.82,
2026-01-29,AAPL,initiate,0.0,6.94,6.94,95.3,95.3,"All entry gates passed — conviction 95, thesis strengthening",4.34,2.45,
2026-01-29,AMD,add,9.97,10.05,0.09,95.5,95.5,Winner with strong conviction and attractive valuation — add,-3.99,-20.64,
2026-01-29,NVDA,add,9.87,10.05,0.18,79.4,86.6,Winner with strong conviction and attractive valuation — add,-6.32,-2.35,
2026-01-29,META,add,2.31,5.19,2.88,88.6,93.5,Winner with strong conviction and attractive valuation — add,-6.31,-12.88,
2026-02-05,MSFT,trim,6.97,4.6,-2.37,96.7,96.7,Stop-loss TRIM: position -24.9% below cost basis (threshold -15%),4.98,1.99,
2026-02-05,AMD,trim,10.05,6.12,-3.94,95.5,97.4,Stop-loss TRIM: position -19.2% below cost basis (threshold -15%),10.95,9.54,
2026-02-05,AAPL,add,6.94,10.0,3.05,95.3,96.6,Winner with strong conviction and attractive valuation — add,-0.72,-0.52,
2026-02-05,META,add,5.19,6.19,1.0,93.5,93.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",0.08,-2.46,
2026-02-12,AMD,exit,6.12,0.0,-6.12,97.4,97.4,Trailing stop EXIT: -20.7% from 90-day peak (threshold -20%),-1.39,-2.78,
2026-02-12,MSFT,trim,4.6,2.67,-1.93,96.7,96.7,Stop-loss TRIM: position -23.3% below cost basis (threshold -15%),-1.24,-2.04,
2026-02-19,MSFT,trim,2.67,0.99,-1.68,96.7,96.7,Stop-loss TRIM: position -23.8% below cost basis (threshold -15%),-2.37,,
2026-02-26,MSFT,trim,0.99,0.99,-0.0,96.7,96.7,Stop-loss TRIM: position -23.2% below cost basis (threshold -15%),-2.24,,
2026-02-26,AMD,initiate,0.0,7.05,7.05,98.1,98.4,"All entry gates passed — conviction 98, thesis strengthening",-1.7,,
2026-02-26,AAPL,add,9.39,9.99,0.6,96.6,97.2,Winner with strong conviction and attractive valuation — add,-3.21,,
