trade_date,ticker,action,shares,price,notional,reason
2025-08-01,META,initiate,70.7711,748.89,53000.0,"All entry gates passed — conviction 80, thesis strengthening"
2025-08-01,MSFT,initiate,86.354,521.08,44997.61,"All entry gates passed — conviction 72, thesis strengthening"
2025-08-01,AAPL,initiate,143.7168,201.77,28997.16,"All entry gates passed — conviction 58, thesis strengthening"
2025-08-01,NVDA,initiate,115.1323,173.69,19997.46,"All entry gates passed — conviction 50, thesis forming"
2025-08-01,AMD,initiate,116.4651,171.7,19997.06,"All entry gates passed — conviction 50, thesis forming"
2025-08-08,NVDA,trim,-59.095,182.67,10794.85,Thesis weakening with conviction 37 — trim
2025-08-08,META,add,26.1934,768.15,20120.58,Winner with strong conviction and attractive valuation — add
2025-08-08,AAPL,add,109.9924,228.65,25150.22,Winner with strong conviction and attractive valuation — add
2025-08-08,AMD,add,145.5753,172.76,25149.6,Winner with strong conviction and attractive valuation — add
2025-08-15,NVDA,trim,-0.5282,180.42,95.3,Thesis weakening with conviction 37 — trim
2025-08-15,META,add,25.7401,784.06,20181.84,Winner with strong conviction and attractive valuation — add
2025-08-15,AAPL,add,109.1363,231.15,25226.8,Winner with strong conviction and attractive valuation — add
2025-08-15,AMD,add,142.1112,177.51,25226.17,Winner with strong conviction and attractive valuation — add
2025-08-22,NVDA,trim,-1.2782,177.96,227.46,Thesis weakening with conviction 37 — trim
2025-08-22,AAPL,add,79.2637,227.33,18018.75,Winner with strong conviction and attractive valuation — add
2025-08-29,NVDA,trim,-1.3817,174.15,240.63,Thesis weakening with conviction 37 — trim
2025-08-29,AAPL,add,-10.7904,231.7,2500.13,Winner with strong conviction and attractive valuation — add
2025-09-05,NVDA,trim,-5.271,166.99,880.22,Thesis weakening with conviction 37 — trim
2025-09-05,AAPL,add,-15.2602,239.23,3650.75,Winner with strong conviction and attractive valuation — add
2025-09-12,NVDA,trim,-7.8391,177.8,1393.79,Thesis weakening with conviction 37 — trim
2025-09-19,NVDA,trim,-16.4596,176.65,2907.59,Thesis weakening with conviction 37 — trim
2025-09-19,META,add,4.3938,777.22,3414.98,Winner with strong conviction and attractive valuation — add
2025-09-26,NVDA,trim,-23.2796,178.17,4147.73,Thesis weakening with conviction 37 — trim
2025-09-26,AAPL,add,-27.9755,254.97,7133.03,Winner with strong conviction and attractive valuation — add
2025-10-03,MSFT,add,23.7473,515.21,12234.8,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-10-10,MSFT,add,48.7755,508.84,24819.13,Winner with strong conviction and attractive valuation — add
2025-10-10,AMD,add,30.7158,214.9,6600.83,Winner with strong conviction and attractive valuation — add
2025-10-17,AMD,add,-7.2814,233.08,1697.14,Winner with strong conviction and attractive valuation — add
2025-10-24,MSFT,add,35.8563,521.44,18696.99,Winner with strong conviction and attractive valuation — add
2025-10-24,AMD,add,1.59,252.92,402.15,Winner with strong conviction and attractive valuation — add
2025-10-31,MSFT,add,-1.0529,515.67,542.94,Winner with strong conviction and attractive valuation — add
2025-10-31,AMD,add,-30.9219,256.12,7919.71,Winner with strong conviction and attractive valuation — add
2025-10-31,AAPL,add,-6.7367,269.86,1817.93,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-11-07,META,trim,-31.3176,621.2,19454.58,Stop-loss TRIM: position -18.7% below cost basis (threshold -15%)
2025-11-07,AAPL,add,-9.725,267.96,2605.9,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-11-14,META,trim,-32.0461,608.96,19514.88,Stop-loss TRIM: position -19.9% below cost basis (threshold -15%)
2025-11-14,AMD,add,-5.0259,246.81,1240.44,Winner with strong conviction and attractive valuation — add
2025-11-21,AMD,exit,-393.2284,203.78,80132.07,Trailing stop EXIT: -22.1% from 90-day peak (threshold -20%)
2025-11-21,META,trim,-31.9237,593.77,18955.22,Stop-loss TRIM: position -22.6% below cost basis (threshold -15%)
2025-11-28,META,trim,-16.4121,647.42,10625.54,Stop-loss TRIM: position -16.8% below cost basis (threshold -15%)
2025-11-28,AMD,initiate,307.6403,217.53,66920.99,"All entry gates passed — conviction 95, thesis strengthening"
2025-11-28,NVDA,initiate,286.2755,176.98,50665.2,"All entry gates passed — conviction 79, thesis strengthening"
2025-12-12,AMD,add,112.7221,210.78,23759.56,Winner with strong conviction and attractive valuation — add
2025-12-12,AAPL,add,-13.5666,278.02,3771.77,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-12-19,AMD,exit,-420.3623,213.43,89717.94,Trailing stop EXIT: -23.9% from 90-day peak (threshold -20%)
2025-12-19,AAPL,trim,-69.1665,273.41,18911.11,Stop-loss TRIM: position -18.1% below cost basis (threshold -15%)
2025-12-19,META,add,17.9413,658.77,11819.21,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-12-26,AAPL,trim,-69.4632,273.14,18973.48,Stop-loss TRIM: position -17.6% below cost basis (threshold -15%)
2025-12-26,AMD,initiate,308.8789,214.99,66405.87,"All entry gates passed — conviction 95, thesis strengthening"
2025-12-26,NVDA,add,99.5791,190.52,18971.78,Winner with strong conviction and attractive valuation — add
2026-01-02,AAPL,trim,-69.9324,270.76,18934.67,Stop-loss TRIM: position -18.2% below cost basis (threshold -15%)
2026-01-02,NVDA,add,100.2664,188.84,18934.29,Winner with strong conviction and attractive valuation — add
2026-01-09,AMD,exit,-308.8789,203.17,62754.92,Trailing stop EXIT: -22.6% from 90-day peak (threshold -20%)
2026-01-09,AAPL,trim,-72.3966,259.13,18759.96,Stop-loss TRIM: position -22.0% below cost basis (threshold -15%)
2026-01-09,NVDA,add,20.8987,184.85,3863.12,Winner with strong conviction and attractive valuation — add
2026-01-16,AAPL,trim,-41.3356,255.29,10552.62,Stop-loss TRIM: position -22.3% below cost basis (threshold -15%)
2026-01-16,AMD,initiate,281.8712,231.83,65346.2,"All entry gates passed — conviction 95, thesis strengthening"
2026-01-16,NVDA,add,-7.9356,186.22,1477.76,Winner with strong conviction and attractive valuation — add
2026-01-23,AAPL,exit,-35.7604,247.81,8861.73,Stop-loss EXIT: position -25.3% below cost basis (threshold -25%)
2026-01-23,AMD,add,85.1952,259.68,22123.49,Winner with strong conviction and attractive valuation — add
2026-01-30,MSFT,trim,-43.3049,429.31,18591.25,Stop-loss TRIM: position -17.3% below cost basis (threshold -15%)
2026-01-30,AAPL,initiate,250.998,259.24,65068.07,"All entry gates passed — conviction 95, thesis strengthening"
2026-01-30,AMD,add,4.8601,236.73,1150.53,Winner with strong conviction and attractive valuation — add
2026-01-30,NVDA,add,-12.1756,191.12,2326.99,Winner with strong conviction and attractive valuation — add
2026-01-30,META,add,32.2687,716.5,23120.53,Winner with strong conviction and attractive valuation — add
2026-02-06,MSFT,trim,-45.3834,400.23,18163.62,Stop-loss TRIM: position -24.9% below cost basis (threshold -15%)
2026-02-06,AMD,trim,-87.139,208.44,18163.26,Stop-loss TRIM: position -19.2% below cost basis (threshold -15%)
2026-02-06,AAPL,add,74.0516,277.86,20575.99,Winner with strong conviction and attractive valuation — add
2026-02-06,META,add,17.1614,661.46,11351.55,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2026-02-13,AMD,exit,-284.7875,207.32,59042.14,Trailing stop EXIT: -20.7% from 90-day peak (threshold -20%)
2026-02-13,MSFT,trim,-44.8303,400.41,17950.31,Stop-loss TRIM: position -23.3% below cost basis (threshold -15%)
2026-02-20,MSFT,trim,-37.7728,397.23,15004.49,Stop-loss TRIM: position -23.8% below cost basis (threshold -15%)
2026-02-27,MSFT,trim,-0.1516,392.74,59.53,Stop-loss TRIM: position -23.2% below cost basis (threshold -15%)
2026-02-27,AMD,initiate,313.9287,200.21,62851.67,"All entry gates passed — conviction 98, thesis strengthening"
2026-02-27,AAPL,add,6.8276,264.18,1803.71,Winner with strong conviction and attractive valuation — add
