trade_date,ticker,action,shares,price,notional,reason
2024-07-31,SPY,initiate,1756.2301,540.93,950000.0,Core position: 95% allocation to SPY
2024-08-01,NVDA,initiate,180.5828,109.16,19711.95,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,AMD,initiate,148.7215,132.54,19711.55,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-19.1724,533.27,10224.08,Sell core to fund satellite position
2024-08-01,AVGO,initiate,136.0913,144.84,19711.16,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0177,533.27,19740.49,Sell core to fund satellite position
2024-08-01,QCOM,initiate,124.955,157.74,19710.56,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0341,533.27,19749.22,Sell core to fund satellite position
2024-08-01,INTC,initiate,682.7809,28.87,19709.77,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0326,533.27,19748.44,Sell core to fund satellite position
2024-08-01,MSFT,initiate,47.8901,411.55,19708.98,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0311,533.27,19747.65,Sell core to fund satellite position
2024-08-01,GOOGL,initiate,116.2351,169.55,19708.19,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0297,533.27,19746.86,Sell core to fund satellite position
2024-08-01,META,initiate,39.7886,495.3,19707.4,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0282,533.27,19746.07,Sell core to fund satellite position
2024-08-01,PLTR,initiate,755.6217,26.08,19706.61,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0267,533.27,19745.28,Sell core to fund satellite position
2024-08-01,CRWD,initiate,87.8861,224.22,19705.82,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,NVDA,exit,-180.5828,104.92,18946.64,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-08,CRWD,exit,-87.8861,240.52,21138.37,Trailing stop EXIT: -41.2% from 90-day peak (threshold -25%)
2024-08-08,QCOM,exit,-124.955,158.66,19824.74,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%)
2024-08-08,AVGO,exit,-136.0913,143.58,19539.53,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-08,AMD,exit,-148.7215,136.32,20273.72,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-08-08,INTC,trim,-180.8825,20.49,3706.28,Stop-loss TRIM: position -34.2% below cost basis (threshold -20%)
2024-08-08,SPY,add,102.4429,521.13,53386.4,Reinvest proceeds to core
2024-08-15,INTC,trim,-6.6159,20.69,136.88,Stop-loss TRIM: position -31.0% below cost basis (threshold -20%)
2024-08-15,AMZN,initiate,112.8537,177.59,20041.69,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,AAPL,initiate,89.7692,223.25,20041.29,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-18.7436,543.15,10180.59,Sell core to fund satellite position
2024-08-15,TSLA,initiate,93.5878,214.14,20040.89,"All entry gates passed — conviction 50, thesis stable"
2024-08-22,INTC,trim,-21.4583,20.1,431.31,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%)
2024-08-29,INTC,trim,-38.3866,20.13,772.72,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%)
2024-08-29,SPY,trim,-34.6159,548.34,18981.18,Sell core to fund satellite position
2024-08-29,NVDA,initiate,171.473,117.53,20153.79,"All entry gates passed — conviction 50, thesis stable"
2024-08-29,SPY,trim,-36.8244,548.34,20192.14,Sell core to fund satellite position
2024-08-29,AMD,initiate,138.5181,145.49,20153.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-05,INTC,trim,-75.769,19.4,1469.92,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%)
2024-09-12,INTC,trim,-156.5629,19.36,3031.06,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%)
2024-09-19,INTC,trim,-203.1057,21.14,4293.66,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%)
2024-09-26,SPY,trim,-21.6942,563.76,12230.35,Sell core to fund satellite position
2024-09-26,QCOM,initiate,125.6572,166.93,20975.84,"All entry gates passed — conviction 50, thesis stable"
2024-12-19,AMD,exit,-138.5181,118.88,16467.04,Trailing stop EXIT: -29.7% from 90-day peak (threshold -25%)
2024-12-26,SPY,trim,-11.186,594.36,6648.53,Sell core to fund satellite position
2024-12-26,INTC,initiate,1128.4684,20.44,23065.89,"All entry gates passed — conviction 50, thesis stable"
