review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2025-09-01,NVDA,initiate,50.0,50.0,medium,0.0,2.04,2.04,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-09-01,AMD,initiate,50.0,50.0,medium,0.0,2.0,2.0,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-09-01,MSFT,initiate,50.0,50.0,medium,0.0,2.0,2.0,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-09-01,AAPL,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-09-01,META,initiate,50.0,50.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-09-08,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2025-09-08,AMD,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2025-09-08,MSFT,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2025-09-08,META,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2025-09-08,NVDA,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2025-09-15,AAPL,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis stable"
2025-09-15,AMD,hold,50.0,0.0,medium,1.87,1.87,0.0,,"Hold — conviction 50, thesis stable"
2025-09-15,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2025-09-15,META,hold,50.0,0.0,medium,2.05,2.05,0.0,,"Hold — conviction 50, thesis stable"
2025-09-15,NVDA,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2025-09-22,AAPL,hold,50.0,0.0,medium,2.06,2.06,0.0,,"Hold — conviction 50, thesis stable"
2025-09-22,AMD,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2025-09-22,MSFT,hold,50.0,0.0,medium,2.04,2.04,0.0,,"Hold — conviction 50, thesis stable"
2025-09-22,META,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2025-09-22,NVDA,hold,50.0,0.0,medium,2.08,2.08,0.0,,"Hold — conviction 50, thesis stable"
2025-09-29,AAPL,hold,50.0,0.0,medium,2.22,2.22,0.0,,"Hold — conviction 50, thesis stable"
2025-09-29,AMD,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2025-09-29,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2025-09-29,META,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis stable"
2025-09-29,NVDA,hold,50.0,0.0,medium,2.14,2.14,0.0,,"Hold — conviction 50, thesis stable"
2025-10-06,AAPL,hold,50.0,0.0,medium,2.21,2.21,0.0,,"Hold — conviction 50, thesis stable"
2025-10-06,AMD,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2025-10-06,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2025-10-06,META,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2025-10-06,NVDA,hold,50.0,0.0,medium,2.12,2.12,0.0,,"Hold — conviction 50, thesis stable"
2025-10-13,AAPL,hold,50.0,0.0,medium,2.21,2.21,0.0,,"Hold — conviction 50, thesis stable"
2025-10-13,AMD,hold,50.0,0.0,medium,2.49,2.49,0.0,,"Hold — conviction 50, thesis stable"
2025-10-13,MSFT,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis stable"
2025-10-13,META,hold,50.0,0.0,medium,1.93,1.93,0.0,,"Hold — conviction 50, thesis stable"
2025-10-13,NVDA,hold,50.0,0.0,medium,2.15,2.15,0.0,,"Hold — conviction 50, thesis stable"
2025-10-20,AAPL,hold,50.0,0.0,medium,2.13,2.13,0.0,,"Hold — conviction 50, thesis stable"
2025-10-20,AMD,hold,50.0,0.0,medium,2.64,2.64,0.0,,"Hold — conviction 50, thesis stable"
2025-10-20,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
