review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2025-09-01,MSFT,initiate,72.1,72.1,high,0.0,4.51,4.51,4.5,"All entry gates passed — conviction 72, thesis strengthening"
2025-09-01,AMD,initiate,67.3,67.3,high,0.0,3.9,3.9,3.9,"All entry gates passed — conviction 67, thesis strengthening"
2025-09-01,NVDA,initiate,66.8,66.8,high,0.0,3.97,3.97,3.9,"All entry gates passed — conviction 67, thesis strengthening"
2025-09-01,AAPL,initiate,56.8,56.8,medium,0.0,2.83,2.83,2.8,"All entry gates passed — conviction 57, thesis strengthening"
2025-09-01,META,initiate,50.0,50.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 50, thesis forming"
2025-09-08,AAPL,add,56.8,55.0,medium,2.83,3.92,1.1,3.91,Winner with strong conviction and attractive valuation — add
2025-09-08,AMD,hold,67.3,0.0,high,3.9,3.9,0.0,,"Hold — conviction 67, thesis strengthening"
2025-09-08,NVDA,hold,66.8,0.0,high,3.97,3.97,0.0,,"Hold — conviction 67, thesis strengthening"
2025-09-08,MSFT,hold,72.1,0.0,high,4.51,4.51,0.0,,"Hold — conviction 72, thesis strengthening"
2025-09-08,META,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis forming"
2025-09-15,AAPL,add,56.8,55.0,medium,3.92,4.87,0.95,4.88,Winner with strong conviction and attractive valuation — add
2025-09-15,NVDA,add,66.8,55.0,high,3.85,5.56,1.71,5.54,Winner with strong conviction and attractive valuation — add
2025-09-15,MSFT,add,72.1,55.0,high,4.45,6.59,2.15,6.57,Winner with strong conviction and attractive valuation — add
2025-09-15,AMD,hold,67.3,0.0,high,3.65,3.65,0.0,,"Hold — conviction 67, thesis strengthening"
2025-09-15,META,hold,50.0,0.0,medium,2.05,2.05,0.0,,"Hold — conviction 50, thesis forming"
2025-09-22,AAPL,add,56.8,55.0,medium,4.87,6.24,1.37,6.24,Winner with strong conviction and attractive valuation — add
2025-09-22,NVDA,add,66.8,55.0,high,5.56,7.25,1.69,7.22,Winner with strong conviction and attractive valuation — add
2025-09-22,MSFT,add,72.1,55.0,high,6.59,8.56,1.96,8.55,Winner with strong conviction and attractive valuation — add
2025-09-22,AMD,hold,67.3,0.0,high,3.86,3.86,0.0,,"Hold — conviction 67, thesis strengthening"
2025-09-22,META,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis forming"
2025-09-29,AAPL,add,56.8,55.0,medium,6.24,7.21,0.97,7.21,Winner with strong conviction and attractive valuation — add
2025-09-29,NVDA,add,66.8,55.0,high,7.25,8.66,1.41,8.69,Winner with strong conviction and attractive valuation — add
2025-09-29,MSFT,add,72.1,55.0,high,8.56,10.0,1.44,10.0,Winner with strong conviction and attractive valuation — add
2025-09-29,AMD,hold,67.3,0.0,high,3.8,3.8,0.0,,"Hold — conviction 67, thesis strengthening"
2025-09-29,META,hold,50.0,0.0,medium,2.06,2.06,0.0,,"Hold — conviction 50, thesis forming"
