review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-21,CRWD,exit,50.0,86.0,medium,273.21,-2.69,-9.32,13.52,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-28,NVDA,initiate,50.0,50.0,medium,125.55,-4.97,-7.97,12.69,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,QCOM,exit,50.0,86.0,medium,160.77,4.25,-2.34,2.22,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%)
2024-08-14,GOOGL,initiate,50.0,50.0,medium,159.24,3.93,-1.88,1.92,"All entry gates passed — conviction 50, thesis stable"
2024-09-11,QCOM,exit,50.0,86.0,medium,161.03,0.03,-0.47,2.61,Trailing stop EXIT: -26.3% from 90-day peak (threshold -25%)
2024-08-14,INTC,exit,50.0,86.0,medium,19.92,8.03,0.9,18.27,Trailing stop EXIT: -42.5% from 90-day peak (threshold -25%)
2024-08-21,TSLA,initiate,50.0,50.0,medium,223.27,-4.51,1.3,-1.15,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,QCOM,initiate,50.0,50.0,medium,159.02,-2.26,1.5,0.48,"All entry gates passed — conviction 50, thesis stable"
2024-09-18,AAPL,initiate,50.0,50.0,medium,219.25,2.62,2.3,2.07,"All entry gates passed — conviction 50, thesis stable"
2024-08-28,AVGO,initiate,50.0,50.0,medium,155.83,2.93,2.71,9.73,"All entry gates passed — conviction 50, thesis stable"
