review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-11-27,TSLA,add,50.0,50.0,medium,332.89,7.27,44.15,,Winner with strong conviction and attractive valuation — add
2024-12-04,AVGO,add,50.0,50.0,medium,168.58,4.91,40.9,,Winner with strong conviction and attractive valuation — add
2024-08-07,NVDA,exit,50.0,86.0,medium,98.86,10.22,29.71,26.31,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-07-31,PLTR,initiate,50.0,50.0,medium,26.89,-10.41,20.19,37.0,"All entry gates passed — conviction 50, thesis forming"
2024-08-28,PLTR,add,50.0,50.0,medium,30.36,3.69,20.06,47.76,Winner with strong conviction and attractive valuation — add
2024-08-07,AVGO,exit,50.0,86.0,medium,134.25,9.06,18.43,30.05,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-09-04,INTC,trim,50.0,75.0,medium,19.43,-1.85,17.4,19.4,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%)
2024-08-07,CRWD,exit,50.0,86.0,medium,230.67,3.76,16.98,26.69,Trailing stop EXIT: -41.2% from 90-day peak (threshold -25%)
2024-08-07,AMD,exit,50.0,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-09-04,TSLA,add,50.0,50.0,medium,219.41,-1.43,15.89,13.48,Winner with strong conviction and attractive valuation — add
