review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,0.0,4.07,4.07,0.0,72.7,"All entry gates passed — conviction 73, thesis strengthening",-11.58,3.28,7.83
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,57.2,"All entry gates passed — conviction 57, thesis strengthening (claim impact: +3.4%)",-6.69,8.25,13.75
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,57.6,"All entry gates passed — conviction 58, thesis strengthening",-14.16,8.74,3.75
2024-08-07,AMD,exit,2.14,0.0,-2.14,57.2,55.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),6.3,16.97,32.82
2024-08-07,QCOM,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +2.5%)",4.34,11.41,8.75
2024-08-07,INTC,initiate,0.0,1.9,1.9,62.4,49.0,"All entry gates passed — conviction 49, thesis weakening (claim impact: +2.2%)",1.95,5.69,18.96
2024-08-07,MSFT,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,INTC,exit,1.9,0.0,-1.9,49.0,49.0,Trailing stop EXIT: -42.5% from 90-day peak (threshold -30%),8.03,0.9,18.27
2024-08-14,CRWD,initiate,0.0,3.31,3.31,68.8,68.8,"All entry gates passed — conviction 69, thesis strengthening",4.12,4.05,24.97
2024-08-14,GOOGL,initiate,0.0,2.13,2.13,60.6,60.6,"All entry gates passed — conviction 61, thesis weakening",3.93,-1.88,1.92
2024-08-14,AVGO,add,3.7,5.99,2.3,72.7,72.7,Winner with strong conviction and attractive valuation — add,6.35,-3.11,15.47
2024-08-14,AMZN,initiate,0.0,1.95,1.95,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.77,3.62,11.01
2024-08-21,CRWD,exit,3.31,0.0,-3.31,68.8,68.8,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%),-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,0.0,2.3,2.3,61.1,61.1,"All entry gates passed — conviction 61, thesis stable",-4.51,1.3,-1.15
2024-08-21,MSFT,add,2.02,3.49,1.48,50.0,67.9,Winner with strong conviction and attractive valuation — add,-2.51,-2.34,-1.41
2024-08-21,QCOM,add,1.97,3.51,1.54,58.2,60.6,Winner with strong conviction and attractive valuation — add,-2.71,-6.72,-1.39
2024-08-21,AVGO,add,5.99,8.1,2.1,72.7,72.7,Winner with strong conviction and attractive valuation — add,-3.72,-10.6,8.87
2024-08-28,PLTR,initiate,0.0,2.64,2.64,65.2,65.2,"All entry gates passed — conviction 65, thesis strengthening",3.69,20.06,47.76
2024-08-28,NVDA,add,2.26,3.83,1.57,57.6,65.3,Winner with strong conviction and attractive valuation — add,-4.97,-7.97,12.69
2024-08-28,QCOM,add,3.51,5.02,1.51,60.6,60.6,Winner with strong conviction and attractive valuation — add,2.01,-1.33,-0.41
2024-08-28,AVGO,add,8.1,9.82,1.73,72.7,72.7,Winner with strong conviction and attractive valuation — add,2.93,2.71,9.73
2024-09-04,META,initiate,0.0,2.78,2.78,65.7,65.7,"All entry gates passed — conviction 66, thesis strengthening",-1.55,9.97,10.72
2024-09-04,CRM,initiate,0.0,2.01,2.01,49.8,56.1,"All entry gates passed — conviction 56, thesis strengthening (claim impact: +4.4%)",-0.78,9.36,19.18
2024-09-04,TSLA,add,2.15,3.77,1.62,61.1,61.1,Winner with strong conviction and attractive valuation — add,-1.43,15.89,13.48
2024-09-11,MSFT,add,3.48,5.54,2.06,70.8,70.8,Winner with strong conviction and attractive valuation — add,1.96,-0.56,-0.12
