review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,LLY,initiate,0.0,1.91,1.91,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-3.61,18.28,9.29
2024-07-31,COST,initiate,0.0,1.98,1.98,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.45,6.59,7.74
2024-07-31,NVDA,initiate,0.0,2.11,2.11,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-14.16,8.74,3.75
2024-08-07,CAT,initiate,0.0,1.99,1.99,50.0,50.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +3.7%)",3.14,7.77,21.88
2024-08-07,AMD,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +3.7%)",6.3,16.97,32.82
2024-08-07,HD,initiate,0.0,2.02,2.02,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.0,8.99,19.99
2024-08-14,AVGO,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",6.35,-3.11,15.47
2024-08-14,TSLA,initiate,0.0,1.92,1.92,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",10.6,4.58,8.15
2024-08-28,PLTR,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.69,20.06,47.76
2024-09-04,META,initiate,0.0,1.98,1.98,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-1.55,9.97,10.72
2025-01-01,AMD,exit,1.54,1.53,-0.02,50.0,50.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),,,
