review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-11-27,TSLA,add,60.4,55.0,medium,332.89,7.27,44.15,,Winner with strong conviction and attractive valuation — add
2024-08-28,PLTR,initiate,55.7,55.7,medium,30.36,3.69,20.06,47.76,"All entry gates passed — conviction 56, thesis strengthening"
2024-08-07,AMD,exit,56.0,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%)
2024-08-07,QCOM,initiate,50.0,50.0,medium,150.16,4.34,11.41,8.75,"All entry gates passed — conviction 50, thesis forming (claim impact: -0.1%)"
2024-09-04,META,initiate,65.2,65.2,high,510.23,-1.55,9.97,10.72,"All entry gates passed — conviction 65, thesis strengthening"
2024-09-04,CRM,initiate,61.9,68.1,medium,245.41,-0.78,9.36,19.18,"All entry gates passed — conviction 62, thesis strengthening (claim impact: +3.1%)"
2024-07-31,NVDA,initiate,71.3,71.3,high,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 71, thesis strengthening"
2024-07-31,AMD,initiate,58.3,59.1,medium,144.48,-6.69,8.25,13.75,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +0.4%)"
2024-11-13,TSLA,add,60.4,55.0,medium,330.24,2.57,6.41,,Winner with strong conviction and attractive valuation — add
2024-08-07,INTC,initiate,63.1,63.8,medium,18.99,1.95,5.69,18.96,"All entry gates passed — conviction 63, thesis weakening (claim impact: +0.3%)"
