review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,0.0,6.95,6.95,0.0,77.0,"All entry gates passed — conviction 77, thesis strengthening",-11.58,3.28,7.83
2024-07-31,NVDA,initiate,0.0,5.24,5.24,0.0,66.6,"All entry gates passed — conviction 67, thesis strengthening",-14.16,8.74,3.75
2024-07-31,MSFT,initiate,0.0,2.45,2.45,0.0,50.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +2.8%)",-5.55,1.72,2.5
2024-08-01,ORCL,initiate,0.0,4.85,4.85,65.7,65.7,"All entry gates passed — conviction 66, thesis strengthening",-6.76,1.96,23.92
2024-08-01,AAPL,initiate,0.0,3.02,3.02,0.0,53.7,"All entry gates passed — conviction 54, thesis forming",-5.1,3.8,6.83
2024-08-01,MU,initiate,0.0,2.47,2.47,48.8,48.8,"All entry gates passed — conviction 49, thesis stable",-12.32,6.72,2.17
2024-08-02,MU,exit,2.47,0.0,-2.47,48.8,48.8,Trailing stop EXIT: -39.5% from 90-day peak (threshold -30%),-6.36,12.47,8.21
2024-08-02,LRCX,initiate,0.0,6.66,6.66,79.5,79.5,"All entry gates passed — conviction 79, thesis forming",-1.96,9.53,4.82
2024-08-02,AMD,initiate,0.0,3.93,3.93,60.9,60.9,"All entry gates passed — conviction 61, thesis strengthening (claim impact: +3.0%)",-2.89,14.49,20.57
2024-08-02,AMAT,initiate,0.0,2.43,2.43,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",-1.82,10.33,8.67
2024-08-03,LRCX,exit,6.66,0.0,-6.66,79.5,50.0,Trailing stop EXIT: -32.3% from 90-day peak (threshold -30%),4.74,11.06,7.02
2024-08-03,INTC,initiate,0.0,3.84,3.84,58.0,58.0,"All entry gates passed — conviction 58, thesis weakening (claim impact: +3.6%)",-4.0,-3.77,4.9
2024-08-03,PLTR,initiate,0.0,2.49,2.49,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",18.35,28.46,51.54
2024-08-04,INTC,exit,3.84,0.0,-3.84,58.0,55.6,Trailing stop EXIT: -38.4% from 90-day peak (threshold -30%),-7.66,-3.77,4.29
2024-08-04,TXN,initiate,0.0,1.81,1.81,45.2,45.2,"All entry gates passed — conviction 45, thesis weakening",2.53,11.96,7.58
2024-08-05,CSCO,initiate,0.0,4.91,4.91,65.7,65.7,"All entry gates passed — conviction 66, thesis strengthening",1.63,13.41,18.8
2024-08-07,AMD,exit,3.92,0.0,-3.92,58.4,57.2,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),6.3,16.97,32.82
2024-08-08,KLAC,initiate,0.0,6.08,6.08,73.5,73.5,"All entry gates passed — conviction 74, thesis strengthening (claim impact: +2.1%)",5.52,7.11,4.1
2024-08-13,NVDA,add,5.06,6.74,1.69,66.6,66.6,Winner with strong conviction and attractive valuation — add,7.27,2.78,16.08
2024-08-13,KLAC,add,6.07,8.22,2.15,70.6,73.5,Winner with strong conviction and attractive valuation — add,3.43,3.41,1.43
2024-08-13,AVGO,add,6.66,8.82,2.17,77.0,77.0,Winner with strong conviction and attractive valuation — add,6.12,4.26,16.6
2024-08-14,ORCL,add,4.69,6.25,1.56,65.7,65.7,Winner with strong conviction and attractive valuation — add,1.71,2.88,29.92
2024-08-14,NVDA,add,6.74,8.32,1.57,66.6,66.6,Winner with strong conviction and attractive valuation — add,10.09,-8.54,14.17
2024-08-14,KLAC,add,8.22,9.97,1.74,73.5,73.5,Winner with strong conviction and attractive valuation — add,3.53,-6.44,1.42
2024-08-14,AVGO,add,8.82,9.99,1.16,77.0,77.0,Winner with strong conviction and attractive valuation — add,6.35,-3.11,15.47
2024-08-15,ORCL,add,6.25,7.63,1.38,65.7,65.7,Winner with strong conviction and attractive valuation — add,1.64,2.79,28.91
2024-08-21,MSFT,add,2.42,3.91,1.49,50.0,61.5,Winner with strong conviction and attractive valuation — add,-2.51,-2.34,-1.41
2024-08-22,MSFT,add,3.91,4.66,0.75,61.5,61.5,"Loser with intact thesis, confirming evidence, and attractive valuation — add",-0.41,1.8,0.78
2024-08-26,PLTR,add,2.96,4.92,1.96,71.8,71.8,Winner with strong conviction and attractive valuation — add,2.04,15.36,45.41
2024-08-27,PLTR,add,4.92,6.91,1.99,71.8,71.8,Winner with strong conviction and attractive valuation — add,2.08,17.74,45.46
2024-09-03,AAPL,add,3.02,4.57,1.55,59.9,62.4,Winner with strong conviction and attractive valuation — add,-0.88,1.66,0.06
2024-09-06,AMAT,exit,2.35,0.0,-2.35,56.5,56.5,Trailing stop EXIT: -31.3% from 90-day peak (threshold -30%),6.4,19.95,6.71
2024-09-11,ANET,initiate,0.0,4.1,4.1,61.4,61.4,"All entry gates passed — conviction 61, thesis strengthening",4.73,11.35,16.77
2024-10-15,ANET,add,4.47,5.82,1.36,61.4,61.4,Winner with strong conviction and attractive valuation — add,2.47,0.66,14.57
2024-11-15,KLAC,trim,7.0,4.74,-2.25,83.6,79.9,Stop-loss TRIM: position -20.3% below cost basis (threshold -20%),0.66,4.87,
2024-11-16,KLAC,trim,4.74,2.78,-1.96,79.9,79.9,Stop-loss TRIM: position -20.3% below cost basis (threshold -20%),3.33,5.81,
2024-11-17,KLAC,trim,2.78,1.03,-1.75,79.9,79.9,Stop-loss TRIM: position -20.3% below cost basis (threshold -20%),4.37,5.81,
2024-11-21,ANET,add,5.4,7.21,1.8,66.6,66.6,Winner with strong conviction and attractive valuation — add,0.83,5.91,
