review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2024-07-31,AMD,initiate,50.0,60.0,medium,0.0,2.14,2.14,2.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +6.6%)"
2024-07-31,NVDA,initiate,50.0,50.0,medium,0.0,2.1,2.1,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AVGO,initiate,50.0,50.0,medium,0.0,2.15,2.15,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,AMD,exit,50.0,86.0,medium,2.14,0.0,-2.14,,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-08-07,NVDA,exit,50.0,86.0,medium,2.1,0.0,-2.1,,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,50.0,86.0,medium,2.15,0.0,-2.15,,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-07,QCOM,initiate,50.0,60.0,medium,0.0,1.94,1.94,2.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +5.2%)"
2024-08-07,INTC,initiate,50.0,51.7,medium,0.0,1.9,1.9,2.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)"
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.03,2.03,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-08-14,INTC,exit,50.0,86.0,medium,1.9,0.0,-1.9,,Trailing stop EXIT: -42.5% from 90-day peak (threshold -25%)
2024-08-14,QCOM,exit,50.0,86.0,medium,1.94,0.0,-1.94,,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%)
2024-08-14,GOOGL,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,AMZN,initiate,50.0,50.0,medium,0.0,1.95,1.95,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,CRWD,initiate,50.0,50.0,medium,0.0,2.0,2.0,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis forming"
2024-08-21,CRWD,exit,50.0,86.0,medium,2.0,0.0,-2.0,,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-21,TSLA,initiate,50.0,50.0,medium,0.0,2.1,2.1,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-21,GOOGL,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,AMZN,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis stable"
2024-08-21,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,NVDA,initiate,50.0,55.0,medium,0.0,2.13,2.13,2.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +2.5%)"
2024-08-28,AMD,initiate,50.0,50.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-28,AVGO,initiate,50.0,50.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-28,GOOGL,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,AMZN,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,MSFT,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-08-28,TSLA,hold,50.0,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,QCOM,initiate,50.0,50.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,INTC,initiate,50.0,50.0,medium,0.0,2.0,2.0,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,META,initiate,50.0,50.0,medium,0.0,1.98,1.98,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,AVGO,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,GOOGL,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,AMZN,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,MSFT,hold,50.0,0.0,medium,1.94,1.94,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,TSLA,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,AMD,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-09-04,NVDA,hold,50.0,0.0,medium,2.13,2.13,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,INTC,exit,50.0,86.0,medium,2.0,0.0,-2.0,,Trailing stop EXIT: -43.3% from 90-day peak (threshold -25%)
2024-09-11,QCOM,exit,50.0,86.0,medium,2.01,0.0,-2.01,,Trailing stop EXIT: -26.3% from 90-day peak (threshold -25%)
2024-09-11,AVGO,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,META,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,GOOGL,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,AMZN,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,TSLA,hold,50.0,0.0,medium,2.11,2.11,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,AMD,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2024-09-11,NVDA,hold,50.0,0.0,medium,1.83,1.83,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,CRWD,initiate,50.0,50.0,medium,0.0,1.97,1.97,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-18,AAPL,initiate,50.0,50.0,medium,0.0,1.97,1.97,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-09-18,AVGO,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,META,hold,50.0,0.0,medium,1.96,1.96,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,GOOGL,hold,50.0,0.0,medium,1.87,1.87,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,AMZN,hold,50.0,0.0,medium,2.07,2.07,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,MSFT,hold,50.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 50, thesis stable"
2024-09-18,TSLA,hold,50.0,0.0,medium,2.17,2.17,0.0,,"Hold — conviction 50, thesis stable"
