review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-07,NVDA,exit,50.0,86.0,medium,98.86,10.22,29.71,26.31,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,50.0,86.0,medium,134.25,9.06,18.43,30.05,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-09-04,INTC,trim,50.0,75.0,medium,19.43,-1.85,17.4,19.4,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%)
2024-08-07,AMD,exit,50.0,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-09-11,INTC,trim,50.0,75.0,medium,19.64,6.47,15.53,33.4,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%)
2024-09-18,INTC,trim,50.0,75.0,medium,20.77,8.62,12.28,17.24,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%)
2024-08-07,QCOM,exit,50.0,86.0,medium,150.16,4.34,11.41,8.75,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%)
2024-08-07,CRM,initiate,50.0,50.0,medium,237.84,4.7,10.07,20.06,"All entry gates passed — conviction 50, thesis forming"
2024-08-28,INTC,trim,50.0,75.0,medium,19.61,12.39,9.48,15.66,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%)
2024-07-31,NVDA,initiate,50.0,50.0,medium,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 50, thesis stable"
