review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-14.16,8.74,3.75
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-6.69,8.25,13.75
2024-07-31,AVGO,initiate,0.0,2.15,2.15,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-11.58,3.28,7.83
2024-08-07,AVGO,exit,2.15,0.0,-2.15,50.0,50.0,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%),9.06,18.43,30.05
2024-08-07,AMD,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%),6.3,16.97,32.82
2024-08-07,NVDA,exit,2.1,0.0,-2.1,50.0,50.0,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%),10.22,29.71,26.31
2024-08-07,QCOM,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.34,11.41,8.75
2024-08-07,INTC,initiate,0.0,1.9,1.9,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.95,5.69,18.96
2024-08-07,MSFT,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,QCOM,exit,1.94,0.0,-1.94,50.0,50.0,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%),4.25,-2.34,2.22
2024-08-14,INTC,exit,1.9,0.0,-1.9,50.0,50.0,Trailing stop EXIT: -42.5% from 90-day peak (threshold -25%),8.03,0.9,18.27
2024-08-14,GOOGL,initiate,0.0,2.02,2.02,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.93,-1.88,1.92
2024-08-14,AMZN,initiate,0.0,1.95,1.95,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.77,3.62,11.01
2024-08-14,CRWD,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.12,4.05,24.97
2024-08-21,CRWD,exit,2.0,0.0,-2.0,50.0,50.0,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%),-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,0.0,2.1,2.1,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-4.51,1.3,-1.15
2024-08-28,NVDA,initiate,0.0,2.13,2.13,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-4.97,-7.97,12.69
2024-08-28,AMD,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",1.5,3.05,6.74
2024-08-28,AVGO,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",2.93,2.71,9.73
2024-09-04,QCOM,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.26,1.5,0.48
2024-09-04,INTC,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-1.85,17.4,19.4
2024-09-04,META,initiate,0.0,1.98,1.98,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-1.55,9.97,10.72
2024-09-11,INTC,exit,2.0,0.0,-2.0,50.0,50.0,Trailing stop EXIT: -43.3% from 90-day peak (threshold -25%),6.47,15.53,33.4
2024-09-11,QCOM,exit,2.01,0.0,-2.01,50.0,50.0,Trailing stop EXIT: -26.3% from 90-day peak (threshold -25%),0.03,-0.47,2.61
2024-09-18,CRWD,initiate,0.0,1.97,1.97,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",9.74,9.69,26.07
2024-09-18,AAPL,initiate,0.0,1.97,1.97,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",2.62,2.3,2.07
2024-09-25,CRWD,exit,1.97,0.0,-1.97,50.0,50.0,Trailing stop EXIT: -26.9% from 90-day peak (threshold -25%),-2.09,5.53,29.95
2024-10-02,QCOM,initiate,0.0,1.99,1.99,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-0.82,2.89,-5.82
2024-12-18,AMD,exit,1.6,0.0,-1.6,50.0,50.0,Trailing stop EXIT: -29.7% from 90-day peak (threshold -25%),2.63,,
2024-12-25,INTC,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-2.84,,
