review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-28,PLTR,initiate,50.0,50.0,medium,30.36,3.69,20.06,47.76,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,AMD,exit,50.0,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%)
2024-08-07,QCOM,initiate,50.0,60.0,medium,150.16,4.34,11.41,8.75,"All entry gates passed — conviction 50, thesis forming (claim impact: +5.2%)"
2024-09-04,META,initiate,50.0,50.0,medium,510.23,-1.55,9.97,10.72,"All entry gates passed — conviction 50, thesis stable"
2024-09-04,CRM,initiate,50.0,51.5,medium,245.41,-0.78,9.36,19.18,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)"
2024-07-31,NVDA,initiate,50.0,50.0,medium,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AMD,initiate,50.0,60.0,medium,144.48,-6.69,8.25,13.75,"All entry gates passed — conviction 50, thesis stable (claim impact: +6.6%)"
2024-08-07,INTC,initiate,50.0,51.7,medium,18.99,1.95,5.69,18.96,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)"
2024-08-07,MSFT,initiate,50.0,50.0,medium,393.11,2.1,4.05,4.61,"All entry gates passed — conviction 50, thesis forming"
2024-08-14,CRWD,initiate,50.0,50.0,medium,256.22,4.12,4.05,24.97,"All entry gates passed — conviction 50, thesis stable"
