review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2026-01-22,AMD,add,95.5,40.0,high,253.73,-0.67,-15.82,,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2026-01-29,META,add,93.5,40.0,high,738.31,-6.31,-12.88,,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-10-30,AMD,add,91.5,40.0,high,254.84,-1.88,-12.28,-15.39,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-10-30,META,add,90.9,40.0,high,665.93,-5.87,-11.43,-1.09,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-08-14,AMD,add,82.0,55.0,high,180.95,-7.96,-10.4,19.6,Winner with strong conviction and attractive valuation — add
2025-11-06,AMD,add,95.2,40.0,high,237.7,-0.08,-9.87,-6.99,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-09-18,META,add,79.9,55.0,high,779.09,-3.12,-7.94,-22.79,Winner with strong conviction and attractive valuation — add
2026-01-29,MSFT,add,96.7,40.0,high,432.51,-5.14,-7.82,,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-10-30,MSFT,add,91.7,55.0,high,523.58,-2.17,-7.35,-7.18,Winner with strong conviction and attractive valuation — add
2025-07-31,AMD,initiate,50.0,50.0,medium,176.31,-1.13,-6.3,-8.48,"All entry gates passed — conviction 50, thesis forming"
