review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-07,NVDA,exit,50.0,86.0,medium,98.86,10.22,29.71,26.31,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,50.0,86.0,medium,134.25,9.06,18.43,30.05,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-09-04,INTC,initiate,50.0,50.0,medium,19.43,-1.85,17.4,19.4,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,AMD,exit,50.0,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-09-11,INTC,exit,50.0,86.0,medium,19.64,6.47,15.53,33.4,Trailing stop EXIT: -43.3% from 90-day peak (threshold -25%)
2024-08-07,QCOM,initiate,50.0,60.0,medium,150.16,4.34,11.41,8.75,"All entry gates passed — conviction 50, thesis forming (claim impact: +5.2%)"
2024-09-04,META,initiate,50.0,50.0,medium,510.23,-1.55,9.97,10.72,"All entry gates passed — conviction 50, thesis stable"
2024-09-18,CRWD,initiate,50.0,50.0,medium,267.12,9.74,9.69,26.07,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,NVDA,initiate,50.0,50.0,medium,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AMD,initiate,50.0,60.0,medium,144.48,-6.69,8.25,13.75,"All entry gates passed — conviction 50, thesis stable (claim impact: +6.6%)"
