review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2025-10-01,MSFT,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis forming"
2025-10-08,AMD,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis forming"
2025-10-08,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis forming"
2025-10-15,MSFT,hold,50.0,0.0,medium,2.03,2.03,0.0,,"Hold — conviction 50, thesis forming"
2025-10-15,AMD,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis forming"
2025-10-22,MSFT,hold,50.0,0.0,medium,1.99,1.99,0.0,,"Hold — conviction 50, thesis forming"
2025-10-22,AMD,hold,50.0,0.0,medium,2.05,2.05,0.0,,"Hold — conviction 50, thesis forming"
2025-10-29,META,initiate,50.0,50.0,medium,0.0,2.25,2.25,2.0,"All entry gates passed — conviction 50, thesis forming"
2025-10-29,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2025-10-29,AMD,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2025-11-05,AAPL,initiate,50.0,50.0,medium,0.0,2.0,2.0,2.0,"All entry gates passed — conviction 50, thesis stable"
2025-11-05,MSFT,hold,50.0,0.0,medium,2.09,2.09,0.0,,"Hold — conviction 50, thesis stable"
2025-11-05,AMD,hold,50.0,0.0,medium,2.26,2.26,0.0,,"Hold — conviction 50, thesis stable"
2025-11-05,META,hold,50.0,0.0,medium,2.25,2.25,0.0,,"Hold — conviction 50, thesis stable"
2025-11-12,AAPL,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2025-11-12,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis stable"
2025-11-12,AMD,hold,50.0,0.0,medium,2.2,2.2,0.0,,"Hold — conviction 50, thesis stable"
2025-11-12,META,hold,50.0,0.0,medium,1.91,1.91,0.0,,"Hold — conviction 50, thesis stable"
2025-11-19,NVDA,initiate,50.0,50.0,medium,0.0,2.06,2.06,2.0,"All entry gates passed — conviction 50, thesis forming"
2025-11-19,AAPL,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis stable"
2025-11-19,MSFT,hold,50.0,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 50, thesis stable"
2025-11-19,AMD,hold,50.0,0.0,medium,2.22,2.22,0.0,,"Hold — conviction 50, thesis stable"
2025-11-19,META,hold,50.0,0.0,medium,1.83,1.83,0.0,,"Hold — conviction 50, thesis stable"
2025-11-26,AAPL,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis stable"
2025-11-26,MSFT,hold,50.0,0.0,medium,1.9,1.9,0.0,,"Hold — conviction 50, thesis stable"
2025-11-26,META,hold,50.0,0.0,medium,1.78,1.78,0.0,,"Hold — conviction 50, thesis stable"
2025-11-26,NVDA,hold,50.0,0.0,medium,2.06,2.06,0.0,,"Hold — conviction 50, thesis forming"
2025-11-26,AMD,hold,50.0,0.0,medium,1.93,1.93,0.0,,"Hold — conviction 50, thesis stable"
