trade_date,ticker,action,shares,price,notional,reason
2024-07-31,SPY,initiate,1756.2298,540.93,950000.0,Core position: 95% allocation to SPY
2024-08-01,NVDA,initiate,180.5827,109.16,19711.94,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,AMD,initiate,148.7215,132.54,19711.54,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-19.1723,533.27,10224.06,Sell core to fund satellite position
2024-08-01,AVGO,initiate,136.0913,144.84,19711.15,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0177,533.27,19740.49,Sell core to fund satellite position
2024-08-01,QCOM,initiate,124.9549,157.74,19710.55,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0341,533.27,19749.21,Sell core to fund satellite position
2024-08-01,INTC,initiate,682.7807,28.87,19709.76,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,NVDA,exit,-180.5827,104.92,18946.63,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-08,AVGO,exit,-136.0913,143.58,19539.54,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-08,AMD,exit,-148.7215,136.32,20273.71,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-08-08,QCOM,exit,-124.9549,158.66,19824.74,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%)
2024-08-08,INTC,trim,-181.6608,20.49,3722.23,Stop-loss TRIM: position -34.2% below cost basis (threshold -20%)
2024-08-08,MSFT,initiate,48.2837,397.32,19184.01,"All entry gates passed — conviction 50, thesis forming"
2024-08-08,GOOGL,initiate,119.2372,160.89,19183.62,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,AMZN,initiate,115.7011,165.8,19183.24,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,META,initiate,37.8259,507.13,19182.86,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,SPY,trim,-26.4958,521.13,13807.85,Sell core to fund satellite position
2024-08-08,CRM,initiate,77.7139,246.83,19182.47,"All entry gates passed — conviction 50, thesis forming"
2024-08-15,INTC,trim,-8.0063,20.69,165.65,Stop-loss TRIM: position -31.0% below cost basis (threshold -20%)
2024-08-15,SPY,trim,-36.56,543.15,19857.62,Sell core to fund satellite position
2024-08-15,CRWD,initiate,76.7404,260.49,19990.12,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-36.8759,543.15,20029.17,Sell core to fund satellite position
2024-08-15,AAPL,initiate,89.5364,223.25,19989.32,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-36.8747,543.15,20028.54,Sell core to fund satellite position
2024-08-15,TSLA,initiate,93.3432,214.14,19988.52,"All entry gates passed — conviction 50, thesis stable"
2024-08-22,CRWD,exit,-76.7404,267.64,20538.81,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-22,INTC,trim,-20.6579,20.1,415.22,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%)
2024-08-29,INTC,trim,-38.7489,20.13,780.02,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%)
2024-08-29,NVDA,initiate,171.0408,117.53,20102.99,"All entry gates passed — conviction 50, thesis stable"
2024-08-29,SPY,trim,-33.8358,548.34,18553.37,Sell core to fund satellite position
2024-08-29,AMD,initiate,138.1716,145.49,20102.58,"All entry gates passed — conviction 50, thesis stable"
2024-09-05,INTC,trim,-76.0022,19.4,1474.44,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%)
2024-09-12,INTC,trim,-155.4961,19.36,3010.4,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%)
2024-09-19,INTC,trim,-202.2086,21.14,4274.69,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%)
2024-09-26,SPY,trim,-21.5522,563.76,12150.28,Sell core to fund satellite position
2024-09-26,QCOM,initiate,124.9776,166.93,20862.4,"All entry gates passed — conviction 50, thesis stable"
2024-12-19,AMD,exit,-138.1716,118.88,16425.84,Trailing stop EXIT: -29.7% from 90-day peak (threshold -25%)
2024-12-26,SPY,trim,-10.0968,594.36,6001.12,Sell core to fund satellite position
2024-12-26,INTC,initiate,1094.7907,20.44,22377.52,"All entry gates passed — conviction 50, thesis stable"
