review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2024-07-31,AVGO,initiate,71.8,71.8,high,0.0,3.97,3.97,3.7,"All entry gates passed — conviction 72, thesis strengthening"
2024-07-31,AMD,initiate,57.8,60.9,medium,0.0,2.14,2.14,2.0,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +1.5%)"
2024-07-31,NVDA,initiate,50.0,50.0,medium,0.0,2.1,2.1,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-08-07,NVDA,exit,50.0,86.0,medium,2.1,0.0,-2.1,,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,AMD,exit,55.5,86.0,medium,2.14,0.0,-2.14,,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,71.8,86.0,high,3.97,0.0,-3.97,,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-07,GOOGL,initiate,64.9,74.9,medium,0.0,2.71,2.71,2.7,"All entry gates passed — conviction 65, thesis weakening (claim impact: +33.4%)"
2024-08-07,QCOM,initiate,50.0,56.3,medium,0.0,1.94,1.94,2.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +3.1%)"
2024-08-07,MSFT,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-08-14,QCOM,exit,54.6,86.0,medium,1.94,0.0,-1.94,,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%)
2024-08-14,CRWD,initiate,69.4,69.4,high,0.0,3.3,3.3,3.3,"All entry gates passed — conviction 69, thesis strengthening"
2024-08-14,AAPL,initiate,56.0,56.0,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 56, thesis strengthening"
2024-08-14,AMZN,initiate,50.0,50.0,medium,0.0,1.95,1.95,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-08-14,GOOGL,hold,64.9,0.0,medium,2.71,2.71,0.0,,"Hold — conviction 65, thesis weakening"
2024-08-14,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis forming"
2024-08-21,CRWD,exit,69.4,86.0,high,3.3,0.0,-3.3,,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-21,TSLA,initiate,51.5,51.5,medium,0.0,2.1,2.1,2.0,"All entry gates passed — conviction 52, thesis strengthening"
2024-08-21,MSFT,hold,50.0,0.0,medium,2.02,2.02,0.0,,"Hold — conviction 50, thesis forming"
2024-08-21,GOOGL,hold,64.9,0.0,medium,2.61,2.61,0.0,,"Hold — conviction 65, thesis weakening"
2024-08-21,AMZN,hold,50.0,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 50, thesis forming"
2024-08-21,AAPL,hold,56.0,0.0,medium,2.01,2.01,0.0,,"Hold — conviction 56, thesis strengthening"
2024-08-28,AVGO,initiate,71.8,71.8,high,0.0,3.72,3.72,3.7,"All entry gates passed — conviction 72, thesis strengthening"
2024-08-28,NVDA,initiate,66.2,68.5,high,0.0,3.09,3.09,2.9,"All entry gates passed — conviction 66, thesis strengthening (claim impact: +1.1%)"
2024-08-28,AMD,initiate,64.7,64.7,medium,0.0,2.71,2.71,2.7,"All entry gates passed — conviction 65, thesis strengthening"
2024-08-28,MSFT,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis forming"
2024-08-28,GOOGL,hold,64.9,0.0,medium,2.62,2.62,0.0,,"Hold — conviction 65, thesis weakening"
2024-08-28,TSLA,hold,51.5,0.0,medium,2.1,2.1,0.0,,"Hold — conviction 52, thesis strengthening"
2024-08-28,AMZN,hold,50.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 50, thesis forming"
2024-08-28,AAPL,hold,53.8,0.0,medium,1.98,1.98,0.0,,"Hold — conviction 54, thesis strengthening"
2024-09-04,META,initiate,65.7,65.7,high,0.0,2.78,2.78,2.8,"All entry gates passed — conviction 66, thesis strengthening"
2024-09-04,QCOM,initiate,56.9,56.9,medium,0.0,2.01,2.01,2.0,"All entry gates passed — conviction 57, thesis strengthening"
2024-09-04,NVDA,hold,62.2,0.0,medium,3.09,3.09,0.0,,"Hold — conviction 62, thesis strengthening"
2024-09-04,MSFT,hold,50.0,0.0,medium,1.94,1.94,0.0,,"Hold — conviction 50, thesis forming"
2024-09-04,GOOGL,hold,64.9,0.0,medium,2.58,2.58,0.0,,"Hold — conviction 65, thesis weakening"
2024-09-04,AVGO,hold,71.8,0.0,high,3.72,3.72,0.0,,"Hold — conviction 72, thesis strengthening"
2024-09-04,TSLA,hold,51.5,0.0,medium,1.95,1.95,0.0,,"Hold — conviction 52, thesis strengthening"
2024-09-04,AMZN,hold,50.0,0.0,medium,1.9,1.9,0.0,,"Hold — conviction 50, thesis forming"
2024-09-04,AMD,hold,64.7,0.0,medium,2.71,2.71,0.0,,"Hold — conviction 65, thesis strengthening"
2024-09-04,AAPL,hold,56.0,0.0,medium,2.0,2.0,0.0,,"Hold — conviction 56, thesis strengthening"
2024-09-11,QCOM,exit,56.9,86.0,medium,2.01,0.0,-2.01,,Trailing stop EXIT: -26.3% from 90-day peak (threshold -25%)
2024-09-11,AMD,add,64.7,55.0,medium,2.66,4.3,1.64,4.29,Winner with strong conviction and attractive valuation — add
2024-09-11,NVDA,hold,66.2,0.0,high,2.66,2.66,0.0,,"Hold — conviction 66, thesis strengthening"
2024-09-11,MSFT,hold,50.0,0.0,medium,1.97,1.97,0.0,,"Hold — conviction 50, thesis forming"
2024-09-11,META,hold,65.6,0.0,high,2.78,2.78,0.0,,"Hold — conviction 66, thesis strengthening"
