review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-21,CRWD,exit,50.0,86.0,medium,273.21,-2.69,-9.32,13.52,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%)
2024-08-14,GOOGL,initiate,50.0,50.0,medium,159.24,3.93,-1.88,1.92,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,INTC,exit,50.0,86.0,medium,19.92,8.03,0.9,18.27,Trailing stop EXIT: -42.5% from 90-day peak (threshold -30%)
2024-08-21,TSLA,initiate,50.0,50.0,medium,223.27,-4.51,1.3,-1.15,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AVGO,initiate,50.0,50.0,medium,158.29,-11.58,3.28,7.83,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,AMZN,initiate,50.0,50.0,medium,170.1,4.77,3.62,11.01,"All entry gates passed — conviction 50, thesis stable"
2024-08-14,CRWD,initiate,50.0,50.0,medium,256.22,4.12,4.05,24.97,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,MSFT,initiate,50.0,50.0,medium,393.11,2.1,4.05,4.61,"All entry gates passed — conviction 50, thesis forming"
2024-08-07,INTC,initiate,50.0,51.7,medium,18.99,1.95,5.69,18.96,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)"
2024-07-31,AMD,initiate,50.0,60.0,medium,144.48,-6.69,8.25,13.75,"All entry gates passed — conviction 50, thesis stable (claim impact: +6.6%)"
