review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,0.0,3.47,3.47,0.0,68.8,"All entry gates passed — conviction 69, thesis strengthening",-14.16,8.74,3.75
2024-07-31,AVGO,initiate,0.0,3.21,3.21,0.0,67.0,"All entry gates passed — conviction 67, thesis strengthening",-11.58,3.28,7.83
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,56.7,"All entry gates passed — conviction 57, thesis strengthening (claim impact: +3.2%)",-6.69,8.25,13.75
2024-08-07,AMD,exit,2.14,0.0,-2.14,56.7,54.4,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),6.3,16.97,32.82
2024-08-07,INTC,initiate,0.0,2.0,2.0,60.5,60.5,"All entry gates passed — conviction 61, thesis stable (claim impact: +2.0%)",1.95,5.69,18.96
2024-08-07,QCOM,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.34,11.41,8.75
2024-08-07,MSFT,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,INTC,exit,2.0,0.0,-2.0,60.5,60.5,Trailing stop EXIT: -42.5% from 90-day peak (threshold -30%),8.03,0.9,18.27
2024-08-14,CRWD,initiate,0.0,3.01,3.01,66.7,66.7,"All entry gates passed — conviction 67, thesis stable",4.12,4.05,24.97
2024-08-14,GOOGL,initiate,0.0,2.23,2.23,61.6,61.6,"All entry gates passed — conviction 62, thesis weakening",3.93,-1.88,1.92
2024-08-14,AVGO,add,2.92,4.65,1.73,67.0,67.0,Winner with strong conviction and attractive valuation — add,6.35,-3.11,15.47
2024-08-14,NVDA,add,3.14,5.02,1.88,68.8,68.8,Winner with strong conviction and attractive valuation — add,10.09,-8.54,14.17
2024-08-14,AMZN,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.77,3.62,11.01
2024-08-21,CRWD,exit,3.01,0.0,-3.01,66.7,66.7,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%),-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,0.0,2.41,2.41,62.4,62.4,"All entry gates passed — conviction 62, thesis strengthening",-4.51,1.3,-1.15
2024-08-21,AVGO,add,4.65,6.22,1.57,67.0,67.0,Winner with strong conviction and attractive valuation — add,-3.72,-10.6,8.87
2024-08-21,MSFT,add,2.01,3.49,1.47,50.0,64.5,Winner with strong conviction and attractive valuation — add,-2.51,-2.34,-1.41
2024-08-21,QCOM,add,1.97,3.51,1.53,58.9,61.3,Winner with strong conviction and attractive valuation — add,-2.71,-6.72,-1.39
2024-08-21,NVDA,add,5.02,6.8,1.78,68.8,68.8,Winner with strong conviction and attractive valuation — add,-1.59,-15.88,7.4
2024-08-28,PLTR,initiate,0.0,2.05,2.05,60.6,60.6,"All entry gates passed — conviction 61, thesis strengthening",3.69,20.06,47.76
2024-08-28,QCOM,add,3.51,5.02,1.51,61.3,61.3,Winner with strong conviction and attractive valuation — add,2.01,-1.33,-0.41
2024-09-04,CRM,initiate,0.0,2.72,2.72,63.4,64.7,"All entry gates passed — conviction 65, thesis strengthening (claim impact: +4.6%)",-0.78,9.36,19.18
2024-09-04,META,initiate,0.0,3.08,3.08,67.9,67.9,"All entry gates passed — conviction 68, thesis strengthening",-1.55,9.97,10.72
2024-09-04,TSLA,add,2.24,3.88,1.64,62.4,62.4,Winner with strong conviction and attractive valuation — add,-1.43,15.89,13.48
2024-09-11,MSFT,add,3.49,5.04,1.56,67.2,67.2,Winner with strong conviction and attractive valuation — add,1.96,-0.56,-0.12
2024-09-11,TSLA,add,3.88,5.47,1.59,62.4,62.4,Winner with strong conviction and attractive valuation — add,-0.59,13.1,40.81
2024-11-20,PLTR,add,3.64,5.29,1.65,64.8,62.2,Winner with strong conviction and attractive valuation — add,4.07,14.12,
2024-11-20,AMZN,add,2.13,3.58,1.45,69.4,69.4,Winner with strong conviction and attractive valuation — add,-0.7,10.92,
2024-12-11,PLTR,add,5.71,7.28,1.57,64.8,64.8,Winner with strong conviction and attractive valuation — add,4.47,4.3,
2024-12-18,AMZN,add,3.82,5.2,1.38,69.4,69.4,Winner with strong conviction and attractive valuation — add,2.06,,
