review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-28,PLTR,initiate,60.6,60.6,medium,30.36,3.69,20.06,47.76,"All entry gates passed — conviction 61, thesis strengthening"
2024-08-07,AMD,exit,54.4,86.0,medium,128.67,6.3,16.97,32.82,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%)
2024-09-04,TSLA,add,62.4,55.0,medium,219.41,-1.43,15.89,13.48,Winner with strong conviction and attractive valuation — add
2024-11-20,PLTR,add,62.2,64.4,medium,62.12,4.07,14.12,,Winner with strong conviction and attractive valuation — add
2024-09-11,TSLA,add,62.4,55.0,medium,228.13,-0.59,13.1,40.81,Winner with strong conviction and attractive valuation — add
2024-08-07,QCOM,initiate,50.0,50.0,medium,150.16,4.34,11.41,8.75,"All entry gates passed — conviction 50, thesis forming"
2024-11-20,AMZN,add,69.4,55.0,high,202.88,-0.7,10.92,,Winner with strong conviction and attractive valuation — add
2024-09-04,META,initiate,67.9,67.9,high,510.23,-1.55,9.97,10.72,"All entry gates passed — conviction 68, thesis strengthening"
2024-09-04,CRM,initiate,64.7,73.8,medium,245.41,-0.78,9.36,19.18,"All entry gates passed — conviction 65, thesis strengthening (claim impact: +4.6%)"
2024-07-31,NVDA,initiate,68.8,68.8,high,116.96,-14.16,8.74,3.75,"All entry gates passed — conviction 69, thesis strengthening"
