review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,suggested_weight,rationale
2024-07-31,NVDA,initiate,50.0,50.0,medium,0.0,2.1,2.1,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AMD,initiate,50.0,50.0,medium,0.0,2.14,2.14,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,AVGO,initiate,50.0,50.0,medium,0.0,2.14,2.14,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,QCOM,initiate,50.0,50.0,medium,0.0,2.16,2.16,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-07-31,INTC,initiate,50.0,50.0,medium,0.0,2.07,2.07,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,MSFT,initiate,50.0,50.0,medium,0.0,1.97,1.97,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-07-31,GOOGL,initiate,50.0,50.0,medium,0.0,1.97,1.97,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-07-31,META,initiate,50.0,50.0,medium,0.0,1.87,1.87,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-07-31,PLTR,initiate,50.0,50.0,medium,0.0,2.02,2.02,2.0,"All entry gates passed — conviction 50, thesis forming"
2024-07-31,CRWD,initiate,50.0,50.0,medium,0.0,2.03,2.03,2.0,"All entry gates passed — conviction 50, thesis stable"
2024-08-07,NVDA,exit,50.0,86.0,medium,2.1,0.0,-2.1,,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-07,CRWD,exit,50.0,86.0,medium,2.03,0.0,-2.03,,Trailing stop EXIT: -41.2% from 90-day peak (threshold -25%)
2024-08-07,QCOM,exit,50.0,86.0,medium,2.16,0.0,-2.16,,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%)
2024-08-07,AVGO,exit,50.0,86.0,medium,2.14,0.0,-2.14,,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-07,AMD,exit,50.0,86.0,medium,2.14,0.0,-2.14,,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
