review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2026-01-29,AMD,add,95.5,55.0,high,252.18,-3.99,-20.64,,Winner with strong conviction and attractive valuation — add
2026-01-22,AMD,add,95.5,55.0,high,253.73,-0.67,-15.82,,Winner with strong conviction and attractive valuation — add
2026-01-29,META,add,93.5,50.0,high,738.31,-6.31,-12.88,,Winner with strong conviction and attractive valuation — add
2025-10-30,AMD,add,91.5,55.0,high,254.84,-1.88,-12.28,-15.39,Winner with strong conviction and attractive valuation — add
2025-11-13,AMD,add,95.2,55.0,high,247.96,-7.13,-12.24,-16.24,Winner with strong conviction and attractive valuation — add
2026-01-15,AMD,initiate,95.1,95.1,high,227.92,1.76,-12.17,,"All entry gates passed — conviction 95, thesis strengthening"
2025-08-14,AMD,add,82.0,55.0,high,180.95,-7.96,-10.4,19.6,Winner with strong conviction and attractive valuation — add
2026-01-01,AAPL,trim,94.9,75.0,high,271.61,-3.49,-8.91,-2.73,Stop-loss TRIM: position -18.2% below cost basis (threshold -15%)
2025-09-18,META,add,79.9,55.0,high,779.09,-3.12,-7.94,-22.79,Winner with strong conviction and attractive valuation — add
2026-01-29,MSFT,trim,96.7,75.0,high,432.51,-5.14,-7.82,,Stop-loss TRIM: position -17.3% below cost basis (threshold -15%)
