review_date,ticker,action,conviction,conviction_bucket,rationale
2025-08-14,INTC,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-08-21,INTC,hold,0.0,low,"Hold — conviction 59, thesis strengthening"
2025-08-28,CRWD,initiate,53.5,medium,"All entry gates passed — conviction 54, thesis strengthening"
2025-08-28,NVDA,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-08-28,AMD,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-08-28,QCOM,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-08-28,INTC,hold,0.0,low,"Hold — conviction 51, thesis weakening"
2025-09-04,CRM,initiate,60.1,medium,"All entry gates passed — conviction 60, thesis strengthening"
2025-09-04,AVGO,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-09-04,GOOGL,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-09-04,CRWD,hold,0.0,low,"Hold — conviction 54, thesis strengthening"
2025-09-04,INTC,hold,0.0,low,"Hold — conviction 55, thesis strengthening"
2025-09-04,NVDA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-04,AMD,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-04,QCOM,hold,0.0,low,"Hold — conviction 61, thesis strengthening"
2025-09-11,GOOGL,exit,95.0,high,Conviction 24 critically low — exit
2025-09-11,TSLA,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-09-11,CRWD,hold,0.0,low,"Hold — conviction 54, thesis strengthening"
2025-09-11,INTC,hold,0.0,low,"Hold — conviction 50, thesis weakening"
2025-09-11,CRM,hold,0.0,low,"Hold — conviction 60, thesis strengthening"
2025-09-11,NVDA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-11,AVGO,hold,0.0,low,"Hold — conviction 65, thesis strengthening"
2025-09-11,AMD,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-11,QCOM,hold,0.0,low,"Hold — conviction 61, thesis strengthening"
2025-09-18,CRWD,hold,0.0,low,"Hold — conviction 54, thesis strengthening"
2025-09-18,INTC,hold,0.0,low,"Hold — conviction 54, thesis weakening"
2025-09-18,CRM,hold,0.0,low,"Hold — conviction 60, thesis strengthening"
2025-09-18,NVDA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-18,AVGO,hold,0.0,low,"Hold — conviction 65, thesis strengthening"
2025-09-18,TSLA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-18,AMD,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-18,QCOM,hold,0.0,low,"Hold — conviction 61, thesis strengthening"
2025-09-25,CRWD,hold,0.0,low,"Hold — conviction 54, thesis strengthening"
2025-09-25,INTC,hold,0.0,low,"Hold — conviction 54, thesis weakening"
2025-09-25,CRM,hold,0.0,low,"Hold — conviction 60, thesis strengthening"
2025-09-25,NVDA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-25,AVGO,hold,0.0,low,"Hold — conviction 65, thesis strengthening"
2025-09-25,TSLA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-25,AMD,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-09-25,QCOM,hold,0.0,low,"Hold — conviction 61, thesis strengthening"
2025-10-02,MSFT,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-10-02,NOW,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-10-02,CRWD,hold,0.0,low,"Hold — conviction 54, thesis strengthening"
2025-10-02,INTC,hold,0.0,low,"Hold — conviction 58, thesis strengthening"
2025-10-02,CRM,hold,0.0,low,"Hold — conviction 60, thesis strengthening"
2025-10-02,NVDA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-10-02,AVGO,hold,0.0,low,"Hold — conviction 73, thesis strengthening"
2025-10-02,TSLA,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-10-02,AMD,hold,0.0,low,"Hold — conviction 50, thesis forming"
2025-10-02,QCOM,hold,0.0,low,"Hold — conviction 61, thesis strengthening"
