review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,0.0,3.97,3.97,0.0,71.8,"All entry gates passed — conviction 72, thesis strengthening",-11.58,3.28,7.83
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,57.8,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +1.5%)",-6.69,8.25,13.75
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,50.0,"All entry gates passed — conviction 50, thesis forming",-14.16,8.74,3.75
2024-08-07,NVDA,exit,2.1,0.0,-2.1,50.0,50.0,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%),10.22,29.71,26.31
2024-08-07,AMD,exit,2.14,0.0,-2.14,57.8,55.5,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%),6.3,16.97,32.82
2024-08-07,AVGO,exit,3.97,0.0,-3.97,71.8,71.8,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%),9.06,18.43,30.05
2024-08-07,GOOGL,initiate,0.0,2.71,2.71,70.3,64.9,"All entry gates passed — conviction 65, thesis weakening (claim impact: +33.4%)",2.11,3.61,5.25
2024-08-07,QCOM,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +3.1%)",4.34,11.41,8.75
2024-08-07,MSFT,initiate,0.0,2.02,2.02,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,QCOM,exit,1.94,0.0,-1.94,50.0,54.6,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%),4.25,-2.34,2.22
2024-08-14,CRWD,initiate,0.0,3.3,3.3,69.4,69.4,"All entry gates passed — conviction 69, thesis strengthening",4.12,4.05,24.97
2024-08-14,AAPL,initiate,0.0,2.01,2.01,56.0,56.0,"All entry gates passed — conviction 56, thesis strengthening",1.88,0.47,2.63
2024-08-14,AMZN,initiate,0.0,1.95,1.95,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",4.77,3.62,11.01
2024-08-21,CRWD,exit,3.3,0.0,-3.3,69.4,69.4,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%),-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,0.0,2.1,2.1,51.5,51.5,"All entry gates passed — conviction 52, thesis strengthening",-4.51,1.3,-1.15
2024-08-28,AVGO,initiate,0.0,3.72,3.72,71.8,71.8,"All entry gates passed — conviction 72, thesis strengthening",2.93,2.71,9.73
2024-08-28,NVDA,initiate,0.0,3.09,3.09,50.0,66.2,"All entry gates passed — conviction 66, thesis strengthening (claim impact: +1.1%)",-4.97,-7.97,12.69
2024-08-28,AMD,initiate,0.0,2.71,2.71,64.7,64.7,"All entry gates passed — conviction 65, thesis strengthening",1.5,3.05,6.74
2024-09-04,META,initiate,0.0,2.78,2.78,65.7,65.7,"All entry gates passed — conviction 66, thesis strengthening",-1.55,9.97,10.72
2024-09-04,QCOM,initiate,0.0,2.01,2.01,56.9,56.9,"All entry gates passed — conviction 57, thesis strengthening",-2.26,1.5,0.48
2024-09-11,QCOM,exit,2.01,0.0,-2.01,56.9,56.9,Trailing stop EXIT: -26.3% from 90-day peak (threshold -25%),0.03,-0.47,2.61
2024-09-11,AMD,add,2.66,4.3,1.64,64.7,64.7,Winner with strong conviction and attractive valuation — add,1.48,6.6,-1.27
2024-09-18,CRWD,initiate,0.0,3.55,3.55,71.2,71.2,"All entry gates passed — conviction 71, thesis strengthening",9.74,9.69,26.07
2024-09-18,AMD,add,4.3,5.66,1.36,64.7,64.7,Winner with strong conviction and attractive valuation — add,5.71,16.53,-9.03
2024-09-25,CRWD,exit,3.55,0.0,-3.55,71.2,71.2,Trailing stop EXIT: -26.9% from 90-day peak (threshold -25%),-2.09,5.53,29.95
2024-09-25,NVDA,add,2.78,4.44,1.66,66.2,66.2,Winner with strong conviction and attractive valuation — add,-1.68,6.55,14.93
2024-09-25,AMD,add,5.66,7.46,1.8,64.7,64.7,Winner with strong conviction and attractive valuation — add,1.27,-3.32,-14.61
2024-10-02,QCOM,initiate,0.0,2.0,2.0,56.9,56.9,"All entry gates passed — conviction 57, thesis strengthening",-0.82,2.89,-5.82
2024-10-02,AMD,add,7.46,8.88,1.42,64.7,64.7,Winner with strong conviction and attractive valuation — add,7.0,-3.56,-14.14
2024-10-09,AMD,add,8.88,10.02,1.14,64.7,64.7,Winner with strong conviction and attractive valuation — add,-3.36,-2.79,-18.96
2024-11-20,AMZN,add,2.22,3.67,1.45,64.4,64.4,Winner with strong conviction and attractive valuation — add,-0.7,10.92,
2024-12-18,AMD,trim,7.3,4.96,-2.34,70.3,70.3,Stop-loss TRIM: position -21.9% below cost basis (threshold -20%),2.63,,
2024-12-18,QCOM,trim,1.78,0.99,-0.79,41.8,37.9,Thesis weakening with conviction 38 — trim,3.39,,
2024-12-18,AMZN,add,4.01,5.43,1.42,64.4,64.4,Winner with strong conviction and attractive valuation — add,2.06,,
2024-12-25,AMD,exit,4.96,0.0,-4.96,70.3,70.3,Trailing stop EXIT: -26.9% from 90-day peak (threshold -25%),-3.05,,
2024-12-25,QCOM,trim,0.99,0.99,0.0,37.9,37.9,Thesis weakening with conviction 38 — trim,-3.0,,
2024-12-25,NVDA,add,4.48,6.21,1.73,69.5,69.5,Winner with strong conviction and attractive valuation — add,-1.95,,
2025-01-01,QCOM,trim,0.99,0.99,-0.0,37.9,37.9,Thesis weakening with conviction 38 — trim,,,
