review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AVGO,initiate,0.0,6.61,6.61,0.0,74.6,"All entry gates passed — conviction 75, thesis strengthening",-11.58,3.28,7.83
2024-07-31,NVDA,initiate,0.0,5.96,5.96,0.0,71.3,"All entry gates passed — conviction 71, thesis strengthening",-14.16,8.74,3.75
2024-07-31,AMD,initiate,0.0,3.93,3.93,0.0,58.3,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +0.4%)",-6.69,8.25,13.75
2024-08-07,AMD,exit,3.93,0.0,-3.93,58.3,56.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),6.3,16.97,32.82
2024-08-07,INTC,initiate,0.0,4.3,4.3,72.7,63.1,"All entry gates passed — conviction 63, thesis weakening (claim impact: +0.3%)",1.95,5.69,18.96
2024-08-07,QCOM,initiate,0.0,2.44,2.44,50.0,50.0,"All entry gates passed — conviction 50, thesis forming (claim impact: -0.1%)",4.34,11.41,8.75
2024-08-07,MSFT,initiate,0.0,2.55,2.55,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,INTC,exit,4.3,0.0,-4.3,63.1,63.1,Trailing stop EXIT: -42.5% from 90-day peak (threshold -30%),8.03,0.9,18.27
2024-08-14,GOOGL,initiate,0.0,6.7,6.7,77.3,77.3,"All entry gates passed — conviction 77, thesis weakening",3.93,-1.88,1.92
2024-08-14,CRWD,initiate,0.0,6.23,6.23,74.7,74.7,"All entry gates passed — conviction 75, thesis strengthening",4.12,4.05,24.97
2024-08-14,AVGO,add,6.05,8.52,2.47,74.6,74.6,Winner with strong conviction and attractive valuation — add,6.35,-3.11,15.47
2024-08-21,CRWD,exit,6.23,0.0,-6.23,74.7,74.7,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%),-2.69,-9.32,13.52
2024-08-21,AMZN,initiate,0.0,4.23,4.23,0.0,61.4,"All entry gates passed — conviction 61, thesis strengthening",-2.56,-0.31,4.93
2024-08-21,AVGO,add,8.52,9.99,1.47,74.6,74.6,Winner with strong conviction and attractive valuation — add,-3.72,-10.6,8.87
2024-08-21,NVDA,add,6.1,8.42,2.32,0.0,71.3,Winner with strong conviction and attractive valuation — add,-1.59,-15.88,7.4
2024-08-21,QCOM,add,2.45,3.98,1.53,64.5,67.2,Winner with strong conviction and attractive valuation — add,-2.71,-6.72,-1.39
2024-08-21,TSLA,initiate,0.0,3.13,3.13,53.5,53.5,"All entry gates passed — conviction 54, thesis strengthening",-4.51,1.3,-1.15
2024-08-28,NVDA,add,8.42,10.1,1.67,71.3,74.3,Winner with strong conviction and attractive valuation — add,-4.97,-7.97,12.69
2024-08-28,PLTR,initiate,0.0,3.31,3.31,55.7,55.7,"All entry gates passed — conviction 56, thesis strengthening",3.69,20.06,47.76
2024-08-28,QCOM,add,3.98,5.5,1.52,67.2,67.2,Winner with strong conviction and attractive valuation — add,2.01,-1.33,-0.41
2024-09-04,CRM,initiate,0.0,4.33,4.33,56.5,61.9,"All entry gates passed — conviction 62, thesis strengthening (claim impact: +3.1%)",-0.78,9.36,19.18
2024-09-04,META,initiate,0.0,4.77,4.77,65.2,65.2,"All entry gates passed — conviction 65, thesis strengthening",-1.55,9.97,10.72
2024-09-11,AMZN,add,4.25,5.93,1.67,61.4,61.4,Winner with strong conviction and attractive valuation — add,0.2,0.33,12.82
2024-09-11,MSFT,add,2.47,4.01,1.54,66.7,66.7,Winner with strong conviction and attractive valuation — add,1.96,-0.56,-0.12
2024-09-18,AMZN,add,5.93,7.42,1.49,61.4,61.4,Winner with strong conviction and attractive valuation — add,4.0,-1.99,8.68
2024-09-18,MSFT,add,4.01,5.54,1.53,66.7,66.7,Winner with strong conviction and attractive valuation — add,0.63,-3.74,-3.67
2024-11-13,TSLA,add,3.65,5.68,2.03,60.4,60.4,Winner with strong conviction and attractive valuation — add,2.57,6.41,
2024-11-27,TSLA,add,5.99,7.3,1.31,60.4,60.4,Winner with strong conviction and attractive valuation — add,7.27,44.15,
