review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,NVDA,initiate,0.0,3.48,3.48,0.0,68.8,"All entry gates passed — conviction 69, thesis strengthening",-14.16,8.74,3.75
2024-07-31,COST,initiate,0.0,1.98,1.98,0.0,58.6,"All entry gates passed — conviction 59, thesis strengthening",-2.45,6.59,7.74
2024-07-31,LLY,initiate,0.0,1.9,1.9,0.0,45.1,"All entry gates passed — conviction 45, thesis weakening",-3.61,18.28,9.29
2024-08-07,CAT,initiate,0.0,1.99,1.99,50.0,58.5,"All entry gates passed — conviction 58, thesis strengthening (claim impact: +3.9%)",3.14,7.77,21.88
2024-08-07,AMD,initiate,0.0,2.23,2.23,61.9,61.9,"All entry gates passed — conviction 62, thesis strengthening (claim impact: +1.3%)",6.3,16.97,32.82
2024-08-07,HD,initiate,0.0,2.02,2.02,57.2,57.2,"All entry gates passed — conviction 57, thesis weakening",1.0,8.99,19.99
2024-08-14,AVGO,initiate,0.0,3.59,3.59,72.2,72.2,"All entry gates passed — conviction 72, thesis strengthening",6.35,-3.11,15.47
2024-08-14,TSLA,initiate,0.0,2.59,2.59,64.6,64.6,"All entry gates passed — conviction 65, thesis strengthening",10.6,4.58,8.15
2024-08-14,AMD,add,2.23,3.78,1.55,61.9,61.9,Winner with strong conviction and attractive valuation — add,10.32,-2.71,19.28
2024-08-14,NVDA,add,3.14,5.03,1.89,68.8,68.8,Winner with strong conviction and attractive valuation — add,10.09,-8.54,14.17
2024-08-21,AMD,add,3.78,5.61,1.83,61.9,65.0,Winner with strong conviction and attractive valuation — add,-4.96,-9.49,-1.17
2024-08-21,TSLA,add,2.59,4.33,1.74,64.6,64.6,Winner with strong conviction and attractive valuation — add,-4.51,1.3,-1.15
2024-08-21,NVDA,add,5.03,6.79,1.76,68.8,68.8,Winner with strong conviction and attractive valuation — add,-1.59,-15.88,7.4
2024-08-28,PLTR,initiate,0.0,1.95,1.95,56.9,56.9,"All entry gates passed — conviction 57, thesis strengthening",3.69,20.06,47.76
2024-09-04,META,initiate,0.0,2.48,2.48,63.2,63.2,"All entry gates passed — conviction 63, thesis strengthening",-1.55,9.97,10.72
2024-09-04,TSLA,add,4.05,5.84,1.79,64.6,64.6,Winner with strong conviction and attractive valuation — add,-1.43,15.89,13.48
2024-09-11,AVGO,add,3.49,4.25,0.76,72.2,68.0,"Loser with intact thesis, confirming evidence, and attractive valuation — add",3.63,6.16,16.41
2024-09-18,AVGO,add,4.25,5.04,0.79,68.0,68.0,"Loser with intact thesis, confirming evidence, and attractive valuation — add",7.32,12.16,2.3
2025-01-01,AMD,exit,3.84,3.83,-0.01,70.5,70.5,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),,,
