review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-21,NVDA,add,71.3,55.0,high,128.44,-1.59,-15.88,7.4,Winner with strong conviction and attractive valuation — add
2024-08-21,AVGO,add,74.6,55.0,high,163.32,-3.72,-10.6,8.87,Winner with strong conviction and attractive valuation — add
2024-08-21,CRWD,exit,74.7,86.0,high,273.21,-2.69,-9.32,13.52,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%)
2024-08-28,NVDA,add,74.3,59.2,high,125.55,-4.97,-7.97,12.69,Winner with strong conviction and attractive valuation — add
2024-08-21,QCOM,add,67.2,55.0,high,167.57,-2.71,-6.72,-1.39,Winner with strong conviction and attractive valuation — add
2024-09-18,MSFT,add,66.7,55.0,high,425.83,0.63,-3.74,-3.67,Winner with strong conviction and attractive valuation — add
2024-08-14,AVGO,add,74.6,55.0,high,155.35,6.35,-3.11,15.47,Winner with strong conviction and attractive valuation — add
2024-09-18,AMZN,add,61.4,55.0,medium,186.43,4.0,-1.99,8.68,Winner with strong conviction and attractive valuation — add
2024-08-14,GOOGL,initiate,77.3,77.3,high,159.24,3.93,-1.88,1.92,"All entry gates passed — conviction 77, thesis weakening"
2024-08-28,QCOM,add,67.2,55.0,high,165.29,2.01,-1.33,-0.41,Winner with strong conviction and attractive valuation — add
