review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2025-10-06,AMD,add,75.1,55.0,high,203.71,5.49,24.16,7.0,Winner with strong conviction and attractive valuation — add
2025-10-13,AMD,add,75.1,55.0,high,216.42,7.7,18.34,-2.61,Winner with strong conviction and attractive valuation — add
2025-10-13,AAPL,add,56.8,55.0,medium,247.19,1.87,9.17,12.47,Winner with strong conviction and attractive valuation — add
2025-09-15,AAPL,add,56.8,55.0,medium,236.25,3.72,9.01,15.2,Winner with strong conviction and attractive valuation — add
2025-12-15,AMD,add,85.1,40.0,high,207.58,2.82,7.65,-0.13,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-10-13,NVDA,add,66.8,55.0,high,188.3,-2.71,7.52,-7.06,Winner with strong conviction and attractive valuation — add
2025-09-08,AAPL,add,56.8,55.0,medium,237.43,-1.6,7.39,12.86,Winner with strong conviction and attractive valuation — add
2026-01-19,META,add,80.4,40.0,high,620.25,6.21,6.64,,"Loser with intact thesis, confirming evidence, and attractive valuation — add"
2025-09-01,AAPL,initiate,56.8,56.8,medium,231.7,3.25,5.76,16.47,"All entry gates passed — conviction 57, thesis strengthening"
2025-09-15,NVDA,add,66.8,55.0,high,177.73,-0.61,5.55,6.99,Winner with strong conviction and attractive valuation — add
