review_date,ticker,event_type,prior_weight,new_weight,delta_weight,conviction_before,conviction_after,rationale_summary,forward_5d_pct,forward_20d_pct,forward_60d_pct
2024-07-31,AMD,initiate,0.0,2.14,2.14,0.0,50.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +6.6%)",-6.69,8.25,13.75
2024-07-31,NVDA,initiate,0.0,2.1,2.1,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-14.16,8.74,3.75
2024-07-31,AVGO,initiate,0.0,2.15,2.15,0.0,50.0,"All entry gates passed — conviction 50, thesis stable",-11.58,3.28,7.83
2024-08-07,AMD,exit,2.14,0.0,-2.14,50.0,50.0,Trailing stop EXIT: -30.1% from 90-day peak (threshold -30%),6.3,16.97,32.82
2024-08-07,QCOM,initiate,0.0,1.94,1.94,50.0,50.0,"All entry gates passed — conviction 50, thesis forming (claim impact: +5.2%)",4.34,11.41,8.75
2024-08-07,INTC,initiate,0.0,1.9,1.9,50.0,50.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)",1.95,5.69,18.96
2024-08-07,MSFT,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis forming",2.1,4.05,4.61
2024-08-14,INTC,exit,1.9,0.0,-1.9,50.0,50.0,Trailing stop EXIT: -42.5% from 90-day peak (threshold -30%),8.03,0.9,18.27
2024-08-14,GOOGL,initiate,0.0,2.03,2.03,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.93,-1.88,1.92
2024-08-14,AMZN,initiate,0.0,1.95,1.95,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.77,3.62,11.01
2024-08-14,CRWD,initiate,0.0,2.0,2.0,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",4.12,4.05,24.97
2024-08-21,CRWD,exit,2.0,0.0,-2.0,50.0,50.0,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%),-2.69,-9.32,13.52
2024-08-21,TSLA,initiate,0.0,2.1,2.1,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-4.51,1.3,-1.15
2024-08-28,PLTR,initiate,0.0,1.96,1.96,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",3.69,20.06,47.76
2024-09-04,CRM,initiate,0.0,2.01,2.01,50.0,50.0,"All entry gates passed — conviction 50, thesis stable (claim impact: +0.8%)",-0.78,9.36,19.18
2024-09-04,META,initiate,0.0,1.98,1.98,50.0,50.0,"All entry gates passed — conviction 50, thesis stable",-1.55,9.97,10.72
