review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct,rationale
2024-08-21,AVGO,add,72.7,55.0,high,163.32,-3.72,-10.6,8.87,Winner with strong conviction and attractive valuation — add
2024-08-21,CRWD,exit,68.8,86.0,high,273.21,-2.69,-9.32,13.52,Trailing stop EXIT: -30.3% from 90-day peak (threshold -30%)
2024-08-28,NVDA,add,65.3,57.0,high,125.55,-4.97,-7.97,12.69,Winner with strong conviction and attractive valuation — add
2024-08-21,QCOM,add,60.6,55.0,medium,167.57,-2.71,-6.72,-1.39,Winner with strong conviction and attractive valuation — add
2024-09-18,MSFT,add,70.8,55.0,high,425.83,0.63,-3.74,-3.67,Winner with strong conviction and attractive valuation — add
2024-10-16,QCOM,add,61.1,58.8,medium,165.79,-1.44,-3.25,-7.07,Winner with strong conviction and attractive valuation — add
2024-08-14,AVGO,add,72.7,55.0,high,155.35,6.35,-3.11,15.47,Winner with strong conviction and attractive valuation — add
2024-09-25,MSFT,add,70.8,55.0,high,427.11,-0.42,-3.09,-3.3,Winner with strong conviction and attractive valuation — add
2024-08-21,MSFT,add,67.9,55.5,high,419.24,-2.51,-2.34,-1.41,Winner with strong conviction and attractive valuation — add
2024-08-14,GOOGL,initiate,60.6,60.6,medium,159.24,3.93,-1.88,1.92,"All entry gates passed — conviction 61, thesis weakening"
